3352-87-2	Developmental Toxicity-fetal death mouse
702-23-8	Genetic Toxicity -drosophila SLRL; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Human Adverse Cardiological Effects -tachycardia; Genetic Toxicity -E. coli; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-post impl. loss rat; Developmental Toxicity-weight dec. mouse; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Reproductive Toxicity -repro rodent female; Reproductive Toxicity-SHE; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-fetal death mouse; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Human Adverse Cardiological Effects -palpitations; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-fetal death rat; Genetic Toxicity -SCE in vitro other cells; Developmental Toxicity-post impl. loss rodent; Reproductive Toxicity -repro rat female; Developmental Toxicity-fetal death rodent; Genetic Toxicity -yeast
266359-83-5	Human Adverse Cardiological Effects -tachycardia; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Genetic Toxicity -SCE in vitro CHO; Human Adverse Cardiological Effects -palpitations; Developmental Toxicity-visceral rat; Developmental Toxicity-visceral rodent; Human Adverse Cardiological Effects -QT prolongation
54910-89-3	Human Adverse Cardiological Effects -tachycardia; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Human Adverse Urinary Effects -bladder; Human Adverse Cardiological Effects -palpitations; Neurotoxicityy-pup behavior rodent; Genetic Toxicity -SCE in vitro other cells; Human Adverse Cardiological Effects -QT prolongation
59333-67-4	Human Adverse Cardiological Effects -tachycardia; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Human Adverse Urinary Effects -bladder; Human Adverse Cardiological Effects -palpitations; Neurotoxicityy-pup behavior rodent; Genetic Toxicity -SCE in vitro other cells; Human Adverse Cardiological Effects -QT prolongation
331623-06-4	Human Adverse Cardiological Effects -coronary artery; Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-post impl. loss rat; Human Adverse Cardiological Effects - electrocardiogram; Developmental Toxicity-post impl. loss rabbit; Human Adverse Cardiological Effects -palpitations
55418-52-5	Human Adverse Cardiological Effects -coronary artery; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -In vitro chrom. ab. CHL; Developmental Toxicity-post impl. loss rat; Developmental Toxicity-weight dec. mouse; Neurotoxicityy-pup behavior mouse; Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity-SHE; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rodent; Human Adverse Cardiological Effects -palpitations; Reproductive Toxicity- C3H10T1-2; Reproductive Toxicity-carc rat male; Genetic Toxicity -yeast
18127-01-0	Human Adverse Cardiological Effects -coronary artery; Human Adverse Cardiological Effects - electrocardiogram; Genetic Toxicity -SCE in vitro CHO; Human Adverse Cardiological Effects -palpitations; Genetic Toxicity -SCE in vitro other cells
80-54-6	Human Adverse Cardiological Effects -coronary artery; Human Adverse Cardiological Effects - electrocardiogram; Genetic Toxicity -SCE in vitro CHO; Human Adverse Cardiological Effects -palpitations; Genetic Toxicity -SCE in vitro other cells
103628-46-2	Human Adverse Cardiological Effects -coronary artery; Developmental Toxicity-pre impl. loss rat; Human Adverse Cardiological Effects - electrocardiogram; Developmental Toxicity-fetal death mouse; Human Adverse Cardiological Effects -palpitations; Developmental Toxicity-structural mouse; Human Adverse Cardiological Effects -myocardial infarct
154323-57-6	Human Adverse Cardiological Effects -coronary artery; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -palpitations; Developmental Toxicity-structural mouse; Human Adverse Cardiological Effects -myocardial infarct
144034-80-0	Human Adverse Cardiological Effects -coronary artery; Genetic Toxicity -drosophila HT; Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity -repro rodent female; Developmental Toxicity-weight dec. rat; Human Adverse Cardiological Effects -palpitations; Developmental Toxicity-structural mouse; Developmental Toxicity-weight dec. rodent; Human Adverse Cardiological Effects -myocardial infarct
143388-64-1	Human Adverse Cardiological Effects -coronary artery; Developmental Toxicity-pre impl. loss rat; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity -repro rodent female; Developmental Toxicity-pre impl. loss rodent; Human Adverse Cardiological Effects -palpitations; Human Adverse Cardiological Effects -QT prolongation; Reproductive Toxicity -repro rat female; Developmental Toxicity-fetal death rodent; Human Adverse Cardiological Effects -myocardial infarct
33629-47-9	Developmental Toxicity-structural rodent; Reproductive Toxicity- sperm mouse; Genetic Toxicity -microbial; Developmental Toxicity-visceral mouse; Genetic Toxicity -E. coli; Developmental Toxicity-weight dec. mouse; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Urinary Effects -bladder; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Human Adverse Cardiological Effects -palpitations; Genetic Toxicity -UDS; Developmental Toxicity-pre impl. loss mouse; Human Adverse Cardiological Effects -heart failure; Genetic Toxicity -chrom. ab.; Developmental Toxicity-structural rat; Human Adverse Cardiological Effects -myocardial infarct; Genetic Toxicity -yeast
115550-35-1	Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Reproductive Toxicity-carc mouse male; Genetic Toxicity -In vitro chrom. ab. CHL; Human Adverse Urinary Effects -urolithiasis; Genetic Toxicity -E. coli; Developmental Toxicity-fetal death rabbit; Reproductive Toxicity-carc rat female; Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Genetic Toxicity -In vitro composite; Genetic Toxicity -SCE in vitro CHO; Human Adverse Cardiological Effects -palpitations; Genetic Toxicity -UDS; Genetic Toxicity -UDS rat hepatocytes; Human Adverse Hepatobiliary Effects -jaundice; Reproductive Toxicity-carc rodent; Human Adverse Cardiological Effects -heart failure; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-fetal death rat; Human Adverse Cardiological Effects -QT prolongation
123447-62-1	Human Adverse Urinary Effects -nephropathy; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Human Adverse Urinary Effects -blood urine; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Genetic Toxicity -SCE in vitro CHO; Human Adverse Cardiological Effects -palpitations; Genetic Toxicity -UDS; Genetic Toxicity -UDS rat hepatocytes; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Human Adverse Cardiological Effects -QT prolongation; Developmental Toxicity-fetal death rodent
136434-34-9	Human Adverse Urinary Effects -urolithiasis; Developmental Toxicity-fetal death rabbit; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Urinary Effects -bladder; Human Adverse Cardiological Effects -palpitations; Human Adverse Hepatobiliary Effects -jaundice; Genetic Toxicity -SCE in vitro other cells; Human Adverse Cardiological Effects -QT prolongation
170729-80-3	Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Urinary Effects -bladder; Human Adverse Cardiological Effects -palpitations; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Cardiological Effects -QT prolongation
5836-10-2	Reproductive Toxicity-cell transformation; Reproductive Toxicity -sperm rat; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity-SHE; Human Adverse Urinary Effects -bladder; Human Adverse Cardiological Effects -palpitations; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-structural rat; Human Adverse Cardiological Effects -QT prolongation
76738-62-0	Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity -repro rodent female; Human Adverse Cardiological Effects -palpitations; Human Adverse Cardiological Effects -QT prolongation
50-07-7	Genetic Toxicity -SCE in vitro; Reproductive Toxicity -repro rat male; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Developmental Toxicity-post impl. loss mouse; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Human Adverse Cardiological Effects -tachycardia; Genetic Toxicity -E. coli; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-post impl. loss rat; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity -repro rodent male; Genetic Toxicity -mam. mutation; Genetic Toxicity -E. coli w; Reproductive Toxicity-SHE; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rodent; Human Adverse Urinary Effects -bladder; Developmental Toxicity-fetal death mouse; Developmental Toxicity-weight dec. rat; Human Adverse Cardiological Effects -palpitations; Genetic Toxicity -UDS; Genetic Toxicity -micronucleus mouse; Developmental Toxicity-pre impl. loss mouse; Reproductive Toxicity -sperm ratPositive; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity -sperm rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Developmental Toxicity-fetal death rodent; Genetic Toxicity -mam. mutation DL
74341-83-6	Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -In vitro chrom. ab. CHL; Human Adverse Cardiological Effects -tachycardia; Genetic Toxicity -E. coli; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-post impl. loss rat; Neurotoxicityy-pup behavior mouse; Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity-SHE; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-fetal death mouse; Human Adverse Cardiological Effects -palpitations; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -yeast
53179-07-0	Genetic Toxicity -mouse lymphoma; Human Adverse Cardiological Effects -tachycardia; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Urinary Effects -bladder; Human Adverse Cardiological Effects -palpitations; Genetic Toxicity -SCE in vitro other cells; Human Adverse Cardiological Effects -QT prolongation
117279-73-9	Reproductive Toxicity -repro mouse female; Human Adverse Urinary Effects -urolithiasis; Developmental Toxicity-weight dec. mouse; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Urinary Effects -bladder; Developmental Toxicity-fetal death mouse; Human Adverse Cardiological Effects -palpitations; Human Adverse Hepatobiliary Effects -jaundice
127254-12-0	Human Adverse Urinary Effects -nephropathy; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Human Adverse Urinary Effects -blood urine; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Urinary Effects -bladder; Genetic Toxicity -UDS; Genetic Toxicity -UDS rat hepatocytes; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Human Adverse Cardiological Effects -QT prolongation
93106-60-6	Human Adverse Urinary Effects -nephropathy; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Human Adverse Urinary Effects -blood urine; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Urinary Effects -bladder; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -UDS; Genetic Toxicity -UDS rat hepatocytes; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Human Adverse Cardiological Effects -QT prolongation; Developmental Toxicity-fetal death rodent
3366-95-8	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Human Adverse Urinary Effects -urolithiasis; Genetic Toxicity -E. coli; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity -repro rodent male; Genetic Toxicity -E. coli w; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Human Adverse Cardiological Effects -QT prolongation
443-48-1	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -salmonella; Genetic Toxicity -In vitro chrom. ab. CHL; Human Adverse Urinary Effects -urolithiasis; Genetic Toxicity -E. coli; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity -repro rodent male; Genetic Toxicity -E. coli w; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Human Adverse Cardiological Effects -QT prolongation
16773-42-5	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -salmonella; Human Adverse Urinary Effects -urolithiasis; Reproductive Toxicity -sperm rat; Genetic Toxicity -E. coli; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity -repro rodent male; Genetic Toxicity -E. coli w; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Human Adverse Cardiological Effects -QT prolongation
94361-06-5	Reproductive Toxicity -sperm rat; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity -repro rodent female; Neurotoxicityy-pup behavior rodent; Human Adverse Cardiological Effects -QT prolongation; Reproductive Toxicity -repro rat female
107534-96-3	Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity -repro rodent female; Human Adverse Cardiological Effects -QT prolongation
22316-47-8	Reproductive Toxicity-cell transformation; Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects - electrocardiogram; Genetic Toxicity -In vitro composite; Reproductive Toxicity-SHE; Human Adverse Urinary Effects -bladder; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Genetic Toxicity -In vitro chrom. ab. CHO
2896-70-0	Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -salmonella; Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects - electrocardiogram; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-structural rabbit
693-98-1	Genetic Toxicity -In vitro chrom. ab. HL cells; Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Neurotoxicityy-pup behavior rodent
89565-68-4	Genetic Toxicity -UDS human lymphocytes; Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects -tachycardia; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -chrom. ab. rat
115626-53-4	Genetic Toxicity -UDS human lymphocytes; Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects -tachycardia; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -chrom. ab. rat
3810-80-8	Developmental Toxicity-retardation rat; Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-post impl. loss rat; Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Developmental Toxicity-pre impl. loss rodent; Human Adverse Urinary Effects -bladder; Developmental Toxicity-weight dec. rat; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity-carc rodent
90-69-7	Human Adverse Cardiological Effects -coronary artery; Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Reproductive Toxicity- C3H10T1-2; Human Adverse Cardiological Effects -QT prolongation
60-79-7	Human Adverse Cardiological Effects -coronary artery; Reproductive Toxicity-carc mouse male; Human Adverse Cardiological Effects -rate rhythm; Developmental Toxicity-post impl. loss rat; Human Adverse Cardiological Effects - electrocardiogram; Genetic Toxicity -mam. mutation; Reproductive Toxicity -repro rodent female; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-fetal death mouse; Developmental Toxicity-pre impl. loss rabbit; Reproductive Toxicity-carc rat; Developmental Toxicity-structural mouse; Developmental Toxicity-structural rabbit; Developmental Toxicity-structural rat; Reproductive Toxicity -repro rat female; Human Adverse Cardiological Effects -myocardial infarct; Genetic Toxicity -mam. mutation DL
1193386-64-9	Human Adverse Urinary Effects -nephropathy; Human Adverse Cardiological Effects -coronary artery; Reproductive Toxicity -sperm rodentPositive; Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Urinary Effects -urolithiasis; Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity -repro rodent male; Developmental Toxicity-pre impl. loss rodent; Human Adverse Urinary Effects -bladder; Developmental Toxicity-post impl. loss rodent
36768-62-4	Human Adverse Cardiological Effects -coronary artery; Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Human Adverse Cardiological Effects -heart failure; Developmental Toxicity-structural rabbit; Developmental Toxicity-fetal death rat; Human Adverse Cardiological Effects -myocardial infarct
75859-03-9	Human Adverse Cardiological Effects -coronary artery; Reproductive Toxicity-cell transformation; Genetic Toxicity -salmonella; Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -palpitations
108319-06-8	Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Human Adverse Hepatobiliary Effects -liver acute; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Human Adverse Cardiological Effects -rate rhythm; Genetic Toxicity -E. coli; Human Adverse Urinary Effects -blood urine; Human Adverse Hepatobiliary Effects -gall bladder; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Urinary Effects -bladder; Human Adverse Cardiological Effects -palpitations; Genetic Toxicity -UDS; Genetic Toxicity -UDS rat hepatocytes; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Human Adverse Cardiological Effects -QT prolongation
112398-08-0	Human Adverse Urinary Effects -nephropathy; Genetic Toxicity -drosophila SLRL; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects -tachycardia; Human Adverse Urinary Effects -blood urine; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Genetic Toxicity -s. cerevisiae; Human Adverse Urinary Effects -bladder; Human Adverse Cardiological Effects -palpitations; Genetic Toxicity -UDS; Genetic Toxicity -UDS rat hepatocytes; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Human Adverse Cardiological Effects -QT prolongation; Developmental Toxicity-fetal death rodent
107007-99-8	Genetic Toxicity -UDS human lymphocytes; Human Adverse Cardiological Effects -rate rhythm; Human Adverse Cardiological Effects -tachycardia; Human Adverse Cardiological Effects - electrocardiogram
37883-00-4	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -drosophila HT; Developmental Toxicity-retardation rat; Genetic Toxicity -In vitro chrom. ab. HL cells; Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-post impl. loss rat; Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity -repro rodent male; Genetic Toxicity -E. coli w; Reproductive Toxicity-SHE; Developmental Toxicity-post impl. loss rabbit; Reproductive Toxicity-carc rat; Developmental Toxicity-visceral rat; Genetic Toxicity -micronucleus mouse; Developmental Toxicity-structural mouse; Developmental Toxicity-visceral rodent; Human Adverse Urinary Effects -kidney function; Genetic Toxicity -SCE in vitro other cells; Developmental Toxicity-post impl. loss rodent
369-77-7	Developmental Toxicity-retardation rat; Developmental Toxicity-visceral mouse; Human Adverse Cardiological Effects -tachycardia; Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-fetal death rat; Genetic Toxicity -In vitro chrom. ab. CHO
897-15-4	Genetic Toxicity -mouse lymphoma; Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-weight dec. mouse; Human Adverse Cardiological Effects - electrocardiogram
152946-68-4	Genetic Toxicity -mouse lymphoma; Genetic Toxicity -microbial; Reproductive Toxicity -sperm rat; Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-pre impl. loss rat; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Hepatobiliary Effects -jaundice; Developmental Toxicity-visceral rodent; Reproductive Toxicity -sperm rodent; Developmental Toxicity-fetal death rat; Genetic Toxicity -yeast
58-25-3	Genetic Toxicity -salmonella; Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-weight dec. mouse; Neurotoxicityy-pup behavior mouse; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Urinary Effects -bladder; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-fetal death rat
1123-85-9	Reproductive Toxicity-cell transformation; Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-pre impl. loss rat; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity-SHE; Developmental Toxicity-pre impl. loss rodent; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-fetal death rat; Genetic Toxicity -SCE in vitro other cells
60-12-8	Reproductive Toxicity-cell transformation; Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-pre impl. loss rat; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity-SHE; Developmental Toxicity-pre impl. loss rodent; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-fetal death rat; Genetic Toxicity -SCE in vitro other cells
100-86-7	Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-pre impl. loss rat; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity-SHE; Developmental Toxicity-pre impl. loss rodent; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-fetal death rat; Genetic Toxicity -SCE in vitro other cells
7722-44-3	Human Adverse Urinary Effects -nephropathy; Human Adverse Urinary Effects -urolithiasis; Human Adverse Cardiological Effects -tachycardia; Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity -repro rodent male; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rabbit; Genetic Toxicity -micronucleus mouse; Human Adverse Urinary Effects -kidney function; Genetic Toxicity -SCE in vitro other cells
1264-72-8	Human Adverse Urinary Effects -nephropathy; Human Adverse Urinary Effects -urolithiasis; Human Adverse Cardiological Effects -tachycardia; Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rabbit; Human Adverse Urinary Effects -kidney function; Genetic Toxicity -SCE in vitro other cells
7779-78-4	Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-pre impl. loss rat; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity-SHE; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-fetal death rat; Genetic Toxicity -SCE in vitro other cells
39809-25-1	Genetic Toxicity -SCE in vitro; Developmental Toxicity-structural rodent; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -In vitro chrom. ab. HL cells; Reproductive Toxicity -sperm rat; Developmental Toxicity-visceral mouse; Human Adverse Cardiological Effects -tachycardia; Neurotoxicityy-pup behavior mouse; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity -repro rodent male; Genetic Toxicity -mam. mutation; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Genetic Toxicity -micronucleus mouse; Developmental Toxicity-visceral rodent; Reproductive Toxicity -sperm rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Human Adverse Cardiological Effects -QT prolongation; Human Adverse Urinary Effects -kidney; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -mam. mutation DL
54739-18-3	Human Adverse Cardiological Effects -tachycardia; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Hepatobiliary Effects -jaundice
2642-82-2	Reproductive Toxicity-cell transformation; Reproductive Toxicity -repro mouse female; Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-pre impl. loss rat; Human Adverse Cardiological Effects - electrocardiogram; Reproductive Toxicity -repro rodent female; Developmental Toxicity-pre impl. loss rodent; Human Adverse Urinary Effects -bladder; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-fetal death rat
145701-21-9	Genetic Toxicity -In vitro chrom. ab. CHL; Reproductive Toxicity-carc mouse female; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -torsades; Genetic Toxicity -micronucleus mouse
3055-99-0	Reproductive Toxicity- sperm mouse; Developmental Toxicity-weight dec. mouse; Human Adverse Cardiological Effects - electrocardiogram; Genetic Toxicity -mam. mutation; Genetic Toxicity -SCE in vitro other cellsPositive; Developmental Toxicity-fetal death mouse; Human Adverse Cardiological Effects -torsades; Developmental Toxicity-visceral rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -mam. mutation DL
36167-63-2	Human Adverse Hepatobiliary Effects -enzyme release; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Human Adverse Cardiological Effects - electrocardiogram; Human Adverse Cardiological Effects -bradycardia; Human Adverse Cardiological Effects -arrhythmia; Human Adverse Cardiological Effects -torsades; Genetic Toxicity -UDS; Developmental Toxicity-weight dec. rodent; Human Adverse Cardiological Effects -QT prolongation
