253128-41-5	Microtubule Inhibitors
985-12-6	Analgesics; Parasympatholytics; Vasodilator Agents
791-35-5	Histamine Antagonists
125-53-1	Antispasmodics; Cholinergic Antagonists
25905-77-5	Antidepressive Agents
189261-10-7	Immunosuppressive Agents
12629-01-5	Hormone Replacement Agents
85721-33-1	Anti-Infective Agents; Quinolones
73-49-4	Sodium Chloride Symporter Inhibitors
151-83-7	Anesthetics, Intravenous; Barbiturates
41340-25-4	Anti-Inflammatory Agents, Non-Steroidal; Cyclooxygenase 2 Inhibitors
26652-09-5	Adrenergic beta-2 Receptor Agonists; Sympathomimetics; Tocolytic Agents
1812-30-2	Anti-Anxiety Agents; Benzodiazepines; GABA Modulators
1951-25-3	Anti-Arrhythmia Agents; Enzyme Inhibitors; Vasodilator Agents
23214-92-8	Antibiotics; Antibiotics, Antineoplastic
13647-35-3	Anti-adrenal Agents; Anticorticosteroid
59-96-1	Adrenergic alpha-Antagonists; Antihypertensive Agents; Vasodilator Agents
18378-89-7	Antibiotics, Antineoplastic; Fluorescent Dyes; Nucleic Acid Synthesis Inhibitors; Protein Synthesis Inhibitors
23284-25-5	Adrenergic beta-Antagonists; Anti-Arrhythmia Agents; Antihypertensive Agents
110-46-3	Vasodilator Agents
204255-11-8	Antiviral Agents; Enzyme Inhibitors
1404-90-6	Anti-Bacterial Agents
211915-06-9	Antithrombins
158747-02-5	Anti-migraine Agents; Serotonin Receptor Agonists
60205-81-4	Antispasmodics; Bronchodilator Agents; Cholinergic Antagonists; Muscarinic Antagonists
137862-53-4	Angiotensin Receptor Antagonists
83-12-5	Anticoagulants
616-91-1	Antiviral Agents; Expectorants; Free Radical Scavengers
152923-57-4	Fertility Agents
60-23-1	Ophthalmics; Radiation-Protective Agents
26675-46-7	Anesthetics; Anesthetics, Inhalation
1191-50-0	Sclerosing Solutions; Surface-Active Agents
152-62-5	Progesterones; Progestins
438-60-8	Adrenergic Uptake Inhibitors; Antidepressive Agents, Tricyclic
50-18-0	Antineoplastic Agents, Alkylating; Antirheumatic Agents; Immunosuppressive Agents; Mutagens; Myeloablative Agonists
174484-41-4	Anti-HIV Agents
102767-28-2	Anticonvulsants; Nootropic Agents
76-38-0	Anesthetics, Inhalation
50925-79-6	Anion Exchange Resins; Hypolipidemic Agents
161814-49-9	Anti-HIV Agents; Antibiotics, Antitubercular; HIV Protease Inhibitors
63-68-3	Amino Acids, Essential; Dietary Supplements; Micronutrients; Supplements
63527-52-6	Anti-Bacterial Agents; Cephalosporins
297-76-7	Contraceptives, Oral, Synthetic
78439-06-2	Anti-Bacterial Agents; Cephalosporins
242478-37-1	Anti-Incontinence Agents; Antispasmodics; Muscarinic Antagonists
113-45-1	Central Nervous System Stimulants; Dopamine Uptake Inhibitors
8063-07-8	Aminoglycosides; Anti-Bacterial Agents; Protein Synthesis Inhibitors
60142-96-3	Analgesics; Anti-Anxiety Agents; Anticonvulsants; Antimanic Agents; Antiparkinson Agents; Calcium Channel Blockers; Excitatory Amino Acid Antagonists
68-22-4	Contraceptives, Oral, Synthetic
124937-51-5	Anti-Incontinence Agents; Antispasmodics; Muscarinic Antagonists; Muscle Relaxants, Genitourinary
88150-42-9	Antianginal Agents; Antihypertensive Agents; Calcium Channel Blockers; Vasodilator Agents
6740-88-1	Analgesics; Anesthetics; Anesthetics, Dissociative; Excitatory Amino Acid Antagonists
125-29-1	Analgesics, Opioid; Antitussive Agents; Narcotics
54063-53-5	Anti-Arrhythmia Agents; Voltage-Gated Sodium Channel Blockers
586-06-1	Adrenergic beta-2 Receptor Agonists; Bronchodilator Agents; Sympathomimetics; Tocolytic Agents
3964-81-6	Histamine H1 Antagonists
152459-95-5	Antineoplastic Agents; Protein Kinase Inhibitors
136236-51-6	Monoamine Oxidase Inhibitors; Neuroprotective Agents
50-07-7	Alkylating Agents; Antibiotics, Antineoplastic; Cross-Linking Reagents; Nucleic Acid Synthesis Inhibitors
86-34-0	Anticonvulsants
57-27-2	Analgesics, Opioid; Narcotics
1309-48-4	Antacids
135-09-1	Antihypertensive Agents; Diuretics; Sodium Chloride Symporter Inhibitors
530-08-5	Adrenergic beta-2 Receptor Agonists; Bronchodilator Agents
110-85-0	Antinematodal Agents
26787-78-0	Anti-Bacterial Agents; Penicillins
104632-26-0	Antidyskinetics; Antioxidants; Antiparkinson Agents; Dopamine Agonists
22664-55-7	Adrenergic beta-Antagonists; Anti-Arrhythmia Agents; Antihypertensive Agents; Sympatholytics
83905-01-5	Anti-Bacterial Agents; Macrolides
38677-81-5	Adrenergic beta-2 Receptor Agonists; Bronchodilator Agents; Cardiotonic Agents
13010-47-4	Antineoplastic Agents, Alkylating
2321-07-5	Contrast Media; Fluorescent Dyes
68-35-9	Anti-Infective Agents; Antiprotozoal Agents; Coccidiostats
76-42-6	Analgesics, Opioid; Antitussive Agents; Narcotics
11000-17-2	Antidiuretic Agents
842133-18-0	Antidiabetic Agents
21256-18-8	Anti-Inflammatory Agents, Non-Steroidal
835-31-4	Sympathomimetics
49562-28-9	Hypolipidemic Agents
476181-74-5	Antipsoriatic Agents; Monoclonal antibodies; TNF inhibitor
20537-88-6	Radiation-Protective Agents
181183-52-8	Anti-migraine Agents; Serotonin Antagonists; Serotonin Receptor Agonists
58-54-8	Diuretics; Enzyme Inhibitors
862111-32-8	Antineoplastic Agents; Ophthalmics
127-48-0	Anticonvulsants
53994-73-3	Anti-Bacterial Agents; Cephalosporins
75607-67-9	Antineoplastic Agents
112809-51-5	Antineoplastic Agents; Aromatase Inhibitors
378-44-9	Anti-Asthmatic Agents; Anti-Inflammatory Agents; Corticosteroids; Glucocorticoids
755037-03-7	Antineoplastic Agents
53648-55-8	Analgesics, Opioid
3511-16-8	Penicillins
9007-92-5	Hypoglycemic Agents
64706-54-3	Anti-Arrhythmia Agents; Antihypertensive Agents; Calcium Channel Blockers; Vasodilator Agents
125-64-4	Hypnotics and Sedatives
138112-76-2	Antidepressive Agents
84-96-8	Antipruritics
50-23-7	Anti-Inflammatory Agents
70288-86-7	Antiparasitic Agents; Insecticides
100643-71-8	Cholinergic Antagonists; Histamine Antagonists; Histamine H1 Antagonists, Non-Sedating
66-79-5	Penicillins
71320-77-9	Antidepressive Agents; Monoamine Oxidase Inhibitors
163521-12-8	Antidepressive Agents; Serotonin Receptor Agonists; Serotonin Uptake Inhibitors
357-70-0	Cholinesterase Inhibitors; Nootropic Agents; Parasympathomimetics
552-94-3	Anti-Inflammatory Agents, Non-Steroidal
59-42-7	Adrenergic alpha-1 Receptor Agonists; Cardiotonic Agents; Mydriatics; Nasal Decongestants; Sympathomimetics; Vasoconstrictor Agents
128196-01-0	Antidepressive Agents, Second-Generation; Serotonin Uptake Inhibitors
159519-65-0	HIV Fusion Inhibitors
9074-87-7	Enzymes
63612-50-0	Androgen Antagonists; Antineoplastic Agents
107133-36-8	Angiotensin-Converting Enzyme Inhibitors; Antihypertensive Agents
15686-51-8	Anti-Allergic Agents; Antipruritics; Histamine H1 Antagonists
477202-00-9	Antineoplastic Agents; Monoclonal antibodies
3239-44-9	Anti-Obesity Agents; Serotonin Receptor Agonists; Serotonin Uptake Inhibitors
90-84-6	Appetite Depressants; Stimulants
82626-48-0	GABA-A Receptor Agonists; Hypnotics and Sedatives
57-22-7	Antineoplastic Agents, Phytogenic; Tubulin Modulators
51-83-2	Analgesics, Non-Narcotic; Cardiotonic Agents; Cholinergic Agonists; Miotics
22316-47-8	Anticonvulsants; Benzodiazepines
38194-50-2	Anti-Inflammatory Agents, Non-Steroidal
50972-17-3	Penicillins
3902-71-4	Photosensitizing Agents
198904-31-3	Anti-HIV Agents; HIV Protease Inhibitors
144-83-2	Anti-Infective Agents; Dermatologic Agents; Sulfonamides
768-94-5	Analgesics, Non-Narcotic; Antiparkinson Agents; Antiviral Agents; Dopamine Agents
124832-26-4	Antiviral Agents; Prodrugs
51022-69-6	Corticosteroids; Glucocorticoids
60-87-7	Anti-Allergic Agents; Antipruritics; Histamine H1 Antagonists
61-00-7	Antipsychotic Agents; Dopamine Antagonists; Hypnotics and Sedatives
80214-83-1	Macrolides
193901-90-5	Contrast Media; Diagnostic Agents
20830-81-3	Antibiotics; Antibiotics, Antineoplastic
4342-03-4	Antineoplastic Agents, Alkylating
79660-72-3	Anti-Infective Agents; Enzyme Inhibitors; Nucleic Acid Synthesis Inhibitors; Quinolones
100-92-5	Adrenergic alpha-1 Receptor Agonists; Sympathomimetics; Vasoconstrictor Agents
359-83-1	Adjuvants, Anesthesia; Analgesics, Opioid; Narcotic Antagonists; Narcotics
25451-15-4	Anticonvulsants
32886-97-8	Anti-Bacterial Agents; Anti-Infective Agents, Urinary; Penicillins
3736-81-0	Amebicides
52128-35-5	Antibiotics; Antifungal Agents; Antimetabolites, Antineoplastic; Antiprotozoal Agents; Folic Acid Antagonists
99200-09-6	Adrenergic beta-1 Receptor Antagonists; Antihypertensive Agents; Vasodilator Agents
884604-91-5	Enzymes
267639-76-9	Colony-Stimulating Factors; Thrombopoietic Agents
56-29-1	Adjuvants; Barbiturates; GABA Modulators; Hypnotics and Sedatives
25953-19-9	Anti-Bacterial Agents; Cephalosporins
31828-71-4	Anti-Arrhythmia Agents; Voltage-Gated Sodium Channel Blockers
21829-25-4	Dihydropyridines
160970-54-7	Adrenergic alpha-1 Receptor Antagonists
739-71-9	Adrenergic Uptake Inhibitors; Antidepressive Agents; Antidepressive Agents, Tricyclic
2180-92-9	Anesthetics, Local
133-16-4	Anesthetics, Local
5591-45-7	Antipsychotic Agents; Dopamine Antagonists; Thioxanthenes
6989-98-6	Muscle Relaxants, Skeletal; Neuromuscular Nondepolarizing Agents; Nicotinic Antagonists
69-53-4	Anti-Bacterial Agents; Penicillins
69049-73-6	Anti-Allergic Agents; Anti-Asthmatic Agents; Anti-Inflammatory Agents
137234-62-9	14-alpha Demethylase Inhibitors; Antifungal Agents
67-97-0	Antihypocalcemic Agents; Antithyroid Agents; Bone Density Conservation Agents; Vitamin D; Vitamins
63659-18-7	Adrenergic beta-1 Receptor Antagonists; Antihypertensive Agents; EENT Preparations; Sympatholytics
47141-42-4	Adrenergic beta-Antagonists; EENT Preparations; Sympatholytics
50-24-8	Anti-Inflammatory Agents; Antineoplastic Agents, Hormonal; Glucocorticoids
129453-61-8	Antineoplastic Agents; Antineoplastic Agents, Hormonal; Estrogen Antagonists
92077-78-6	Angiotensin-Converting Enzyme Inhibitors; Antihypertensive Agents
155-09-9	Antidepressive Agents
171228-49-2	Antifungal Agents
209467-52-7	Anti-Bacterial Agents; Cephalosporins
33005-95-7	Anti-Inflammatory Agents, Non-Steroidal
79350-37-1	Anti-Bacterial Agents; Cephalosporins
71195-58-9	Analgesics, Opioid; Anesthetics, Intravenous; Narcotics
50-49-7	Adrenergic Uptake Inhibitors; Antidepressive Agents, Tricyclic
59170-23-9	Adrenergic beta-1 Receptor Antagonists
136817-59-9	Reverse Transcriptase Inhibitors
645-43-2	Adrenergic Agents; Antihypertensive Agents; Sympatholytics
99011-02-6	Adjuvants, Immunologic; Antineoplastic Agents; Interferon Inducers
596-51-0	Adjuvants, Anesthesia; Cholinergic Antagonists; Muscarinic Antagonists
64-19-7	Anti-Bacterial Agents; Indicators and Reagents
54048-10-1	Contraceptive Agents
128607-22-7	Estrogen Antagonists
58-85-5	Dietary Supplements; Micronutrients; Supplements; Vitamin B Complex
113806-05-6	Histamine Antagonists; Histamine H1 Antagonists
441798-33-0	Vasodilator Agents
3040-38-8	Nootropic Agents; Vitamin B Complex
868540-17-4	Antineoplastic Agents
77-37-2	Antidyskinetics; Antiparkinson Agents; Muscarinic Antagonists
125-33-7	Anticonvulsants; Barbiturates
82419-36-1	Anti-Bacterial Agents; Anti-Infective Agents; Anti-Infective Agents, Urinary; Nucleic Acid Synthesis Inhibitors; Quinolones
18323-44-9	Anti-Bacterial Agents; Antibiotics; Protein Synthesis Inhibitors
116094-23-6	Antidiabetic Agents; Hypoglycemic Agents
79794-75-5	Anti-Allergic Agents; Antipruritics; Histamine Antagonists; Histamine H1 Antagonists, Non-Sedating
54910-89-3	Antidepressive Agents, Second-Generation; Serotonin Agents; Serotonin Uptake Inhibitors
7414-83-7	Antihypocalcemic Agents; Bisphosphonates; Bone Density Conservation Agents
59-32-5	Histamine Antagonists; Histamine H1 Antagonists
674-38-4	Muscarinic Agonists; Parasympathomimetics
75696-02-5	Benzodiazepines; Hypnotics and Sedatives
2353-33-5	Antimetabolites, Antineoplastic; Enzyme Inhibitors; Teratogens
150322-43-3	Platelet Aggregation Inhibitors
89987-06-4	Antihypocalcemic Agents; Bone Density Conservation Agents
147-94-4	Antimetabolites, Antineoplastic; Antiviral Agents; Immunosuppressive Agents
61-68-7	Anti-Inflammatory Agents, Non-Steroidal; Cyclooxygenase Inhibitors
130-95-0	Analgesics, Non-Narcotic; Antimalarials; Muscle Relaxants, Central
54-49-9	Adrenergic alpha-1 Receptor Agonists; Sympathomimetics; Vasoconstrictor Agents
160337-95-1	Antidiabetic Agents; Hypoglycemic Agents
110078-46-1	Anti-HIV Agents; Hematopoietic Agents
604-75-1	Anti-Anxiety Agents; GABA Modulators; Hypnotics and Sedatives
103-90-2	Analgesics, Non-Narcotic; Antipyretics
49697-38-3	Corticosteroids
218620-50-9	Hormone Replacement Agents
57-92-1	Aminoglycosides
82-88-2	Histamine Antagonists; Histamine H1 Antagonists
22071-15-4	Anti-Inflammatory Agents, Non-Steroidal; Cyclooxygenase Inhibitors
51-21-8	Antimetabolites; Antimetabolites, Antineoplastic; Immunosuppressive Agents
55-73-2	Adrenergic Agents; Antihypertensive Agents; Sympatholytics
80-77-3	Anti-Anxiety Agents; Antipsychotic Agents; Benzodiazepines; Muscle Relaxants, Central
75706-12-6	Adjuvants; Antirheumatic Agents; Enzyme Inhibitors; Immunosuppressive Agents
55981-09-4	Antiparasitic Agents
7481-89-2	Anti-HIV Agents; Antimetabolites; Reverse Transcriptase Inhibitors
50-81-7	Antioxidants; Ascorbic Acid; Vitamins
106133-20-4	Adrenergic alpha-1 Receptor Antagonists
624-49-7	Dermatologic Agents; Immunosuppressive Agents; Radiation-Sensitizing Agents
33125-97-2	Anesthetics, Intravenous; Hypnotics and Sedatives
76824-35-6	Anti-Ulcer Agents; Histamine H2 Antagonists
17528-72-2	Dietary Supplements; Supplements
59277-89-3	Antiviral Agents; Nucleic Acids, Nucleotides, and Nucleosides
51-74-1	Diagnostic Agents; Histamine Agents
914-00-1	Anti-Bacterial Agents; Tetracyclines
55985-32-5	Anti-Arrhythmia Agents; Antihypertensive Agents; Calcium Channel Blockers; Dihydropyridines; Vasodilator Agents
456-59-7	Vasodilator Agents
66778-36-7	Anti-Arrhythmia Agents; Sodium Channel Blockers; Voltage-Gated Sodium Channel Blockers
73-31-4	Antioxidants; Central Nervous System Depressants
62893-19-0	Anti-Bacterial Agents; Cephalosporins
298-50-0	Anti-Ulcer Agents; Antispasmodics; Muscarinic Antagonists
15686-71-2	Anti-Bacterial Agents; Cephalosporins
5534-95-2	Diagnostic Agents
129497-78-5	Antineovascularisation Agents
1397-89-3	Amebicides; Anti-Bacterial Agents; Antifungal Agents; Antiprotozoal Agents
61869-08-7	Antidepressive Agents; Serotonin Uptake Inhibitors
120-51-4	Acaricides; Insecticides
16846-24-5	Anti-Bacterial Agents; Macrolides
154361-50-9	Prodrugs
125-84-8	Antineoplastic Agents, Hormonal; Aromatase Inhibitors
82410-32-0	Antiviral Agents
130308-48-4	Adrenergic beta-Antagonists; Anti-Inflammatory Agents, Non-Steroidal
103775-10-6	Angiotensin-Converting Enzyme Inhibitors
83-43-2	Anti-Inflammatory Agents; Antiemetics; Glucocorticoids; Neuroprotective Agents
59122-46-2	Abortifacient Agents; Abortifacient Agents, Nonsteroidal; Anti-Ulcer Agents; Oxytocics; Prostaglandins
147084-10-4	Anti-Inflammatory Agents; Histamine H1 Antagonists
59-52-9	Chelating Agents
51-71-8	Antidepressive Agents; Monoamine Oxidase Inhibitors
85-79-0	Anesthetics, Local
111025-46-8	Hypoglycemic Agents
71-63-6	Anti-Arrhythmia Agents; Cardiotonic Agents; Enzyme Inhibitors
79902-63-9	Anticholesteremic Agents; Hydroxymethylglutaryl-CoA Reductase Inhibitors; Hypolipidemic Agents
2751-09-9	Anti-Bacterial Agents; Macrolides
61337-67-5	Adrenergic alpha-Antagonists; Antidepressive Agents, Tricyclic; Histamine H1 Antagonists
58-18-4	Anabolic Agents; Antineoplastic Agents, Hormonal; Hormone Replacement Agents
83150-76-9	Antineoplastic Agents, Hormonal; Gastrointestinal Agents; Hormone Replacement Agents
461432-26-8	sodium-glucose cotransporter 2 inhibitor 
54-47-7	Dietary Supplements; Micronutrients; Supplements; Vitamin B Complex
114-07-8	Anti-Bacterial Agents; Gastrointestinal Agents; Macrolides; Protein Synthesis Inhibitors
469-79-4	Analgesics, Opioid; Excitatory Amino Acid Antagonists
1982-37-2	Histamine Antagonists
120-97-8	Anti-glaucoma Agents; Carbonic Anhydrase Inhibitors; Ophthalmics
1622-62-4	Anti-Anxiety Agents; Benzodiazepines; GABA Modulators
41859-67-0	Hypolipidemic Agents
86-21-5	Anti-Allergic Agents; Antipruritics; Histamine H1 Antagonists
1622-61-3	Anticonvulsants; Benzodiazepines; GABA Modulators
208265-92-3	Antineutropenic Agents; Immunosuppressive Agents
106-60-5	Photosensitizing Agents
1477-40-3	Analgesics, Opioid; Narcotics
138-56-7	Antiemetics
51-75-2	Alkylating Agents; Antineoplastic Agents, Alkylating; Chemical Warfare Agents; Irritants
207748-29-6	Antidiabetic Agents
138890-62-7	Anti-glaucoma Agents; Ophthalmics
73590-58-6	Anti-Ulcer Agents; Enzyme Inhibitors; Proton Pump Inhibitors
68302-57-8	Anti-Allergic Agents; Anti-Inflammatory Agents; Anti-Ulcer Agents
82-95-1	Cholinergic Antagonists; Histamine Antagonists
127-31-1	Anti-Inflammatory Agents
175865-60-8	Antiviral Agents
40391-99-9	Bisphosphonates; Bone Density Conservation Agents
63585-09-1	Antiviral Agents; Reverse Transcriptase Inhibitors
98079-51-7	Anti-Infective Agents
552858-79-4	Enzyme Replacement Agents
152923-56-3	Immunosuppressive Agents
55-63-0	Explosive Agents; Vasodilator Agents
645-05-6	Antineoplastic Agents, Alkylating
68-41-7	Anti-Infective Agents, Urinary; Antibiotics; Antibiotics, Antitubercular; Antimetabolites
2016-88-8	Acid Sensing Ion Channel Blockers; Diuretics; Epithelial Sodium Channel Blockers; Sodium Channel Blockers
39860-99-6	Phenothiazines
317-34-0	Bronchodilator Agents; Cardiotonic Agents; Muscle Relaxants, Respiratory; Phosphodiesterase Inhibitors; Purinergic P1 Receptor Antagonists
69-72-7	Anti-Infective Agents; Antifungal Agents; Keratolytic Agents
389-08-2	Anti-Bacterial Agents
10102-43-9	Bronchodilator Agents; Endothelium-Dependent Relaxing Factors; Free Radical Scavengers; Neurotransmitter Agents
100986-85-4	Quinolones
113-42-8	Oxytocics
70-30-4	Anti-Infective Agents
7542-37-2	Amebicides; Anti-Bacterial Agents
34787-01-4	Anti-Bacterial Agents; Penicillins
79516-68-0	Histamine H1 Antagonists, Non-Sedating
305-03-3	Antineoplastic Agents, Alkylating
1695-77-8	Aminoglycosides; Anti-Bacterial Agents
87679-37-6	Angiotensin-Converting Enzyme Inhibitors; Antihypertensive Agents
58-32-2	Phosphodiesterase Inhibitors; Platelet Aggregation Inhibitors; Vasodilator Agents
499-67-2	Anesthetics, Local
77337-76-9	Alcohol Deterrents
637-07-0	Anticholesteremic Agents; Hypolipidemic Agents
77-36-1	Antihypertensive Agents; Diuretics; Sodium Chloride Symporter Inhibitors
31431-39-7	Antinematodal Agents; Tubulin Modulators
174722-31-7	Antineoplastic Agents; Antirheumatic Agents; Immunologic Factors
777-11-7	Antifungal Agents
97519-39-6	Cephalosporins
85441-61-8	Angiotensin-Converting Enzyme Inhibitors; Antihypertensive Agents
177073-44-8	Fertility Agents; Gonadotropins
122647-32-9	Anti-Arrhythmia Agents
188627-80-7	Platelet Aggregation Inhibitors
4697-36-3	Anti-Bacterial Agents; Penicillins
34444-01-4	Anti-Bacterial Agents; Cephalosporins
80573-04-2	Anti-Inflammatory Agents, Non-Steroidal; Gastrointestinal Agents
74-55-5	Antitubercular Agents
66104-22-1	Antidyskinetics; Dopamine Agonists
80-08-0	Anti-Infective Agents; Antimalarials; Antimycobacterials; Folic Acid Antagonists; Leprostatic Agents
56391-56-1	Aminoglycosides; Anti-Bacterial Agents; Protein Synthesis Inhibitors
599-79-1	Anti-Infective Agents; Anti-Inflammatory Agents, Non-Steroidal; Antirheumatic Agents; Gastrointestinal Agents; Sulfonamides
93413-69-5	Antidepressive Agents
630-60-4	Cardiotonic Agents; Enzyme Inhibitors
846-49-1	Benzodiazepines; Hypnotics and Sedatives
70-18-8	Dietary Supplements; Micronutrients; Supplements
41294-56-8	Bone Density Conservation Agents
5300-03-8	Antineoplastic Agents
122-11-2	Anti-Infective Agents
58-93-5	Antihypertensive Agents; Diuretics; Sodium Chloride Symporter Inhibitors
141626-36-0	Anti-Arrhythmia Agents
566-48-3	Antineoplastic Agents; Aromatase Inhibitors; Steroids
67-73-2	Anti-Inflammatory Agents; Glucocorticoids
151-67-7	Anesthetics; Anesthetics, Inhalation
641571-10-0	Antineoplastic Agents
60-54-8	Anti-Bacterial Agents; Antiprotozoal Agents; Protein Synthesis Inhibitors; Tetracyclines
171596-29-5	Phosphodiesterase 5 Inhibitors; Vasodilator Agents
526-08-9	Anti-Bacterial Agents; Anti-Infective Agents; Sulfonamides
148-79-8	Anthelmintics
671-16-9	Antineoplastic Agents
65899-73-2	14-alpha Demethylase Inhibitors; Antifungal Agents
51-61-6	Cardiotonic Agents; Dopamine Agents; Sympathomimetics
504-24-5	Potassium Channel Blockers
96829-58-2	Anti-Obesity Agents; Enzyme Inhibitors
191588-94-0	Fibrinolytic Agents; Thrombolytic Agents
23288-49-5	Anticholesteremic Agents; Antioxidants
331731-18-1	Anti-Inflammatory Agents; Antirheumatic Agents; Immunosuppressive Agents
80125-14-0	Antipsychotic Agents; Dopamine Antagonists
121679-13-8	Serotonin Antagonists; Serotonin Receptor Agonists
29216-28-2	Histamine H1 Antagonists
113662-23-0	Contrast Media
546-88-3	Enzyme Inhibitors
147403-03-0	Angiotensin Receptor Antagonists
313348-27-5	Diagnostic Agents
100286-90-6	Antineoplastic Agents, Phytogenic; Prodrugs; Radiation-Sensitizing Agents; Topoisomerase I Inhibitors
29094-61-9	Hypoglycemic Agents
92339-11-2	Contrast Media
128270-60-0	Antithrombins
11041-12-6	Cholesterol Absorption Inhibitors; Hypolipidemic Agents
66357-35-5	Anti-Ulcer Agents; Histamine H2 Antagonists
130167-69-0	Antineoplastic Agents
1190307-88-0	Antiviral Agents
105-20-4	Diagnostic Agents; Gastrointestinal Agents; Histamine Agonists
125-28-0	Analgesics, Opioid
61622-34-2	Anti-Bacterial Agents; Cephalosporins
58-22-0	Androgens
354812-41-2	Quinolones
132-21-8	Histamine Antagonists; Histamine H1 Antagonists
400827-46-5	Antibiotics; Cephalosporins
2022-85-7	Antifungal Agents; Antimetabolites
115103-54-3	Anticonvulsants; GABA Agonists; Neurotransmitter Uptake Inhibitors
82-92-8	Antiemetics; Histamine H1 Antagonists
915-30-0	Analgesics, Opioid; Antidiarrheals; Antiperistaltic Agents
87-08-1	Anti-Bacterial Agents; Penicillins
