CASRNUID	CASRN	TestSubstance_ChemName	Molecular_Formular	IUPAC_Name	InChI	InChIKey	SMILES
3333	2443-58-5	2-Hydroxyfluorene	C13H10O	9H-fluoren-2-ol	InChI=1S/C13H10O/c14-11-5-6-13-10(8-11)7-9-3-1-2-4-12(9)13/h1-6,8,14H,7H2	ZDOIAPGLORMKTR-UHFFFAOYSA-N	OC1=CC2=C(C=C1)C1=C(C2)C=CC=C1
3334	2444-46-4	Nonivamide	C17H27NO3	N-[(4-hydroxy-3-methoxyphenyl)methyl]nonanamide	InChI=1S/C17H27NO3/c1-3-4-5-6-7-8-9-17(20)18-13-14-10-11-15(19)16(12-14)21-2/h10-12,19H,3-9,13H2,1-2H3,(H,18,20)	RGOVYLWUIBMPGK-UHFFFAOYSA-N	CCCCCCCCC(=O)NCC1=CC(OC)=C(O)C=C1
3335	24448-94-0	5,5-Dimethylbarbituric acid	C6H8N2O3	5,5-dimethyl-1,3-diazinane-2,4,6-trione	InChI=1S/C6H8N2O3/c1-6(2)3(9)7-5(11)8-4(6)10/h1-2H3,(H2,7,8,9,10,11)	LAOZSCRCYVBSJA-UHFFFAOYSA-N	CC1(C)C(=O)NC(=O)NC1=O
3336	2445-76-3	Hexyl propanoate	C9H18O2	hexyl propanoate	InChI=1S/C9H18O2/c1-3-5-6-7-8-11-9(10)4-2/h3-8H2,1-2H3	GOKKOFHHJFGZHW-UHFFFAOYSA-N	CCCCCCOC(=O)CC
3337	2445-77-4	2-Methylbutyl isovalerate	C10H20O2	2-methylbutyl 3-methylbutanoate	InChI=1S/C10H20O2/c1-5-9(4)7-12-10(11)6-8(2)3/h8-9H,5-7H2,1-4H3	CYGPPWVXOWCHJB-UHFFFAOYSA-N	CCC(C)COC(=O)CC(C)C
3338	24468-13-1	Carbonochloridic acid, 2-ethylhexyl ester	C9H17ClO2	2-ethylhexyl carbonochloridate	InChI=1S/C9H17ClO2/c1-3-5-6-8(4-2)7-12-9(10)11/h8H,3-7H2,1-2H3	RTGLJCSUKOLTEM-UHFFFAOYSA-N	CCCCC(CC)COC(Cl)=O
3339	2447-54-3	Sanguinarine	C20H14NO4		InChI=1S/C20H14NO4/c1-21-8-15-12(4-5-16-20(15)25-10-22-16)13-3-2-11-6-17-18(24-9-23-17)7-14(11)19(13)21/h2-8H,9-10H2,1H3/q+1	INVGWHRKADIJHF-UHFFFAOYSA-N	C[N+]1=CC2=C(C=CC3=C2OCO3)C2=C1C1=C(C=C2)C=C2OCOC2=C1
3340	2447-57-6	Sulfadoxine	C12H14N4O4S	4-amino-N-(5,6-dimethoxypyrimidin-4-yl)benzenesulfonamide	InChI=1S/C12H14N4O4S/c1-19-10-11(14-7-15-12(10)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)	PJSFRIWCGOHTNF-UHFFFAOYSA-N	COC1=NC=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1OC
3341	2448-68-2	Pipamperone dihydrochloride	C21H32Cl2FN3O2	1-[4-(4-fluorophenyl)-4-oxobutyl]-4-piperidin-1-ylpiperidine-4-carboxamide;dihydrochloride	InChI=1S/C21H30FN3O2.2ClH/c22-18-8-6-17(7-9-18)19(26)5-4-12-24-15-10-21(11-16-24,20(23)27)25-13-2-1-3-14-25;;/h6-9H,1-5,10-16H2,(H2,23,27);2*1H	BMXXSXQVMCXGJM-UHFFFAOYSA-N	Cl.Cl.NC(=O)C1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)N1CCCCC1
3342	2449-05-0	Dibenzyl diazene-1,2-dicarboxylate	C16H14N2O4	benzyl N-phenylmethoxycarbonyliminocarbamate	InChI=1S/C16H14N2O4/c19-15(21-11-13-7-3-1-4-8-13)17-18-16(20)22-12-14-9-5-2-6-10-14/h1-10H,11-12H2	IRJKSAIGIYODAN-UHFFFAOYSA-N	O=C(OCC1=CC=CC=C1)N=NC(=O)OCC1=CC=CC=C1
3343	2451-62-9	Triglycidyl isocyanurate	C12H15N3O6	1,3,5-tris(oxiran-2-ylmethyl)-1,3,5-triazinane-2,4,6-trione	InChI=1S/C12H15N3O6/c16-10-13(1-7-4-19-7)11(17)15(3-9-6-21-9)12(18)14(10)2-8-5-20-8/h7-9H,1-6H2	OUPZKGBUJRBPGC-UHFFFAOYSA-N	O=C1N(CC2CO2)C(=O)N(CC2CO2)C(=O)N1CC1CO1
3344	24526-64-5	Nomifensine	C16H18N2	2-methyl-4-phenyl-3,4-dihydro-1H-isoquinolin-8-amine	InChI=1S/C16H18N2/c1-18-10-14(12-6-3-2-4-7-12)13-8-5-9-16(17)15(13)11-18/h2-9,14H,10-11,17H2,1H3	XXPANQJNYNUNES-UHFFFAOYSA-N	CN1CC(C2=CC=CC=C2)C2=CC=CC(N)=C2C1
3345	24544-04-5	2,6-Diisopropylaniline	C12H19N	2,6-di(propan-2-yl)aniline	InChI=1S/C12H19N/c1-8(2)10-6-5-7-11(9(3)4)12(10)13/h5-9H,13H2,1-4H3	WKBALTUBRZPIPZ-UHFFFAOYSA-N	CC(C)C1=CC=CC(C(C)C)=C1N
3346	24549-06-2	2-Ethyl-6-methylaniline	C9H13N	2-ethyl-6-methylaniline	InChI=1S/C9H13N/c1-3-8-6-4-5-7(2)9(8)10/h4-6H,3,10H2,1-2H3	JJVKJJNCIILLRP-UHFFFAOYSA-N	CCC1=CC=CC(C)=C1N
3347	2455-24-5	Tetrahydrofurfuryl methacrylate	C9H14O3	oxolan-2-ylmethyl 2-methylprop-2-enoate	InChI=1S/C9H14O3/c1-7(2)9(10)12-6-8-4-3-5-11-8/h8H,1,3-6H2,2H3	LCXXNKZQVOXMEH-UHFFFAOYSA-N	CC(=C)C(=O)OCC1CCCO1
3348	2457-01-04	Barium bis(2-ethylhexanoate)	C16H30BaO4	barium(2+);2-ethylhexanoate	InChI=1S/2C8H16O2.Ba/c2*1-3-5-6-7(4-2)8(9)10;/h2*7H,3-6H2,1-2H3,(H,9,10);/q;;+2/p-2	VJFFDDQGMMQGTQ-UHFFFAOYSA-L	[Ba++].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O
3349	24579-73-5	Propamocarb	C9H20N2O2	propyl N-[3-(dimethylamino)propyl]carbamate	InChI=1S/C9H20N2O2/c1-4-8-13-9(12)10-6-5-7-11(2)3/h4-8H2,1-3H3,(H,10,12)	WZZLDXDUQPOXNW-UHFFFAOYSA-N	CCCOC(=O)NCCCN(C)C
3350	24584-09-6	Dexrazone	C11H16N4O4	4-[(2S)-2-(3,5-dioxopiperazin-1-yl)propyl]piperazine-2,6-dione	InChI=1S/C11H16N4O4/c1-7(15-5-10(18)13-11(19)6-15)2-14-3-8(16)12-9(17)4-14/h7H,2-6H2,1H3,(H,12,16,17)(H,13,18,19)/t7-/m0/s1	BMKDZUISNHGIBY-ZETCQYMHSA-N	C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
3351	24589-77-3	4-Hydrazinobenzoic acid hydrochloride	C7H9ClN2O2	4-hydrazinylbenzoic acid;hydrochloride	InChI=1S/C7H8N2O2.ClH/c8-9-6-3-1-5(2-4-6)7(10)11;/h1-4,9H,8H2,(H,10,11);1H	XHLQMKQBCHYRLC-UHFFFAOYSA-N	Cl.NNC1=CC=C(C=C1)C(O)=O
3352	2459-10-01	Trimethyl benzene-1,2,4-tricarboxylate	C12H12O6	trimethyl benzene-1,2,4-tricarboxylate	InChI=1S/C12H12O6/c1-16-10(13)7-4-5-8(11(14)17-2)9(6-7)12(15)18-3/h4-6H,1-3H3	MJHNUUNSCNRGJE-UHFFFAOYSA-N	COC(=O)C1=CC=C(C(=O)OC)C(=C1)C(=O)OC
3353	2460-77-7	2,5-Di-tert-butylcyclohexa-2,5-diene-1,4-dione	C14H20O2	2,5-ditert-butylcyclohexa-2,5-diene-1,4-dione	InChI=1S/C14H20O2/c1-13(2,3)9-7-12(16)10(8-11(9)15)14(4,5)6/h7-8H,1-6H3	ZZYASVWWDLJXIM-UHFFFAOYSA-N	CC(C)(C)C1=CC(=O)C(=CC1=O)C(C)(C)C
3354	24600-36-0	Fominoben hydrochloride	C21H25Cl2N3O3	N-[3-chloro-2-[[methyl-(2-morpholin-4-yl-2-oxoethyl)amino]methyl]phenyl]benzamide;hydrochloride	InChI=1S/C21H24ClN3O3.ClH/c1-24(15-20(26)25-10-12-28-13-11-25)14-17-18(22)8-5-9-19(17)23-21(27)16-6-3-2-4-7-16;/h2-9H,10-15H2,1H3,(H,23,27);1H	ZAOHKACVOFGZOI-UHFFFAOYSA-N	Cl.CN(CC(=O)N1CCOCC1)CC1=C(Cl)C=CC=C1NC(=O)C1=CC=CC=C1
3355	24602-86-6	Tridemorph	C19H39NO	2,6-dimethyl-4-tridecylmorpholine	InChI=1S/C19H39NO/c1-4-5-6-7-8-9-10-11-12-13-14-15-20-16-18(2)21-19(3)17-20/h18-19H,4-17H2,1-3H3	YTOPFCCWCSOHFV-UHFFFAOYSA-N	CCCCCCCCCCCCCN1CC(C)OC(C)C1
3356	2461-15-6	2-Ethylhexyl glycidyl ether	C11H22O2	2-(2-ethylhexoxymethyl)oxirane	InChI=1S/C11H22O2/c1-3-5-6-10(4-2)7-12-8-11-9-13-11/h10-11H,3-9H2,1-2H3	BBBUAWSVILPJLL-UHFFFAOYSA-N	CCCCC(CC)COCC1CO1
3357	2461-18-9	Dodecyl glycidyl ether	C15H30O2	2-(dodecoxymethyl)oxirane	InChI=1S/C15H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-16-13-15-14-17-15/h15H,2-14H2,1H3	VMSIYTPWZLSMOH-UHFFFAOYSA-N	CCCCCCCCCCCCOCC1CO1
3358	24615-84-7	2-Carboxyethyl acrylate	C6H8O4	3-prop-2-enoyloxypropanoic acid	InChI=1S/C6H8O4/c1-2-6(9)10-4-3-5(7)8/h2H,1,3-4H2,(H,7,8)	CYUZOYPRAQASLN-UHFFFAOYSA-N	OC(=O)CCOC(=O)C=C
3359	2463-84-5	Dicapthon	C8H9ClNO5PS	(2-chloro-4-nitrophenoxy)-dimethoxy-sulfanylidene-$l^{5}-phosphane	InChI=1S/C8H9ClNO5PS/c1-13-16(17,14-2)15-8-4-3-6(10(11)12)5-7(8)9/h3-5H,1-2H3	OTKXWJHPGBRXCR-UHFFFAOYSA-N	COP(=S)(OC)OC1=CC=C(C=C1Cl)[N+]([O-])=O
3360	24634-61-5	2,4-Hexadienoic acid, potassium salt, (2E,4E)-	C6H7KO2	potassium;(2E,4E)-hexa-2,4-dienoate	InChI=1S/C6H8O2.K/c1-2-3-4-5-6(7)8;/h2-5H,1H3,(H,7,8);/q;+1/p-1/b3-2+,5-4+;	CHHHXKFHOYLYRE-STWYSWDKSA-M	[K+].C\C=C\C=C\C([O-])=O
3361	2465-27-2	Auramine hydrochloride	C17H22ClN3	4-[4-(dimethylamino)benzenecarboximidoyl]-N,N-dimethylaniline;hydrochloride	InChI=1S/C17H21N3.ClH/c1-19(2)15-9-5-13(6-10-15)17(18)14-7-11-16(12-8-14)20(3)4;/h5-12,18H,1-4H3;1H	KSCQDDRPFHTIRL-UHFFFAOYSA-N	Cl.CN(C)C1=CC=C(C=C1)C(=N)C1=CC=C(C=C1)N(C)C
3362	2465-59-0	Oxypurinol	C5H4N4O2	1,2-dihydropyrazolo[3,4-d]pyrimidine-4,6-dione	InChI=1S/C5H4N4O2/c10-4-2-1-6-9-3(2)7-5(11)8-4/h1H,(H3,6,7,8,9,10,11)	HXNFUBHNUDHIGC-UHFFFAOYSA-N	O=C1NC2=NNC=C2C(=O)N1
3363	24650-42-8	2,2-Dimethoxy-1,2-diphenylethanone	C16H16O3	2,2-dimethoxy-1,2-diphenylethanone	InChI=1S/C16H16O3/c1-18-16(19-2,14-11-7-4-8-12-14)15(17)13-9-5-3-6-10-13/h3-12H,1-2H3	KWVGIHKZDCUPEU-UHFFFAOYSA-N	COC(OC)(C(=O)C1=CC=CC=C1)C1=CC=CC=C1
3364	2467-02-09	Bisphenol F	C13H12O2	2-[(2-hydroxyphenyl)methyl]phenol	InChI=1S/C13H12O2/c14-12-7-3-1-5-10(12)9-11-6-2-4-8-13(11)15/h1-8,14-15H,9H2	MQCPOLNSJCWPGT-UHFFFAOYSA-N	OC1=C(CC2=C(O)C=CC=C2)C=CC=C1
3365	2467-03-0	2-(4-Hydroxybenzyl)phenol	C13H12O2	2-[(4-hydroxyphenyl)methyl]phenol	InChI=1S/C13H12O2/c14-12-7-5-10(6-8-12)9-11-3-1-2-4-13(11)15/h1-8,14-15H,9H2	LVLNPXCISNPHLE-UHFFFAOYSA-N	OC1=CC=C(CC2=C(O)C=CC=C2)C=C1
3366	24678-13-5	Lenperone	C22H23F2NO2	4-[4-(4-fluorobenzoyl)piperidin-1-yl]-1-(4-fluorophenyl)butan-1-one	InChI=1S/C22H23F2NO2/c23-19-7-3-16(4-8-19)21(26)2-1-13-25-14-11-18(12-15-25)22(27)17-5-9-20(24)10-6-17/h3-10,18H,1-2,11-15H2	WCIBOXFOUGQLFC-UHFFFAOYSA-N	FC1=CC=C(C=C1)C(=O)CCCN1CCC(CC1)C(=O)C1=CC=C(F)C=C1
3367	24683-00-9	2-Isobutyl-3-methoxypyrazine	C9H14N2O	2-methoxy-3-(2-methylpropyl)pyrazine	InChI=1S/C9H14N2O/c1-7(2)6-8-9(12-3)11-5-4-10-8/h4-5,7H,6H2,1-3H3	UXFSPRAGHGMRSQ-UHFFFAOYSA-N	COC1=NC=CN=C1CC(C)C
3368	2469-55-8	3,3'-(1,1,3,3-Tetramethyldisiloxane-1,3-diyl)dipropan-1-amine	C10H28N2OSi2	3-[[3-aminopropyl(dimethyl)silyl]oxy-dimethylsilyl]propan-1-amine	InChI=1S/C10H28N2OSi2/c1-14(2,9-5-7-11)13-15(3,4)10-6-8-12/h5-12H2,1-4H3	GPXCORHXFPYJEH-UHFFFAOYSA-N	C[Si](C)(CCCN)O[Si](C)(C)CCCN
3369	24729-96-2	Clindamycin phosphate	C18H34ClN2O8PS	[(2R,3R,4S,5R,6R)-6-[(1S,2S)-2-chloro-1-[[(2S,4R)-1-methyl-4-propylpyrrolidine-2-carbonyl]amino]propyl]-4,5-dihydroxy-2-methylsulfanyloxan-3-yl] dihydrogen phosphate	InChI=1S/C18H34ClN2O8PS/c1-5-6-10-7-11(21(3)8-10)17(24)20-12(9(2)19)15-13(22)14(23)16(18(28-15)31-4)29-30(25,26)27/h9-16,18,22-23H,5-8H2,1-4H3,(H,20,24)(H2,25,26,27)/t9-,10+,11-,12+,13+,14-,15+,16+,18+/m0/s1	UFUVLHLTWXBHGZ-MGZQPHGTSA-N	CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]1O[C@H](SC)[C@H](OP(O)(O)=O)[C@@H](O)[C@H]1O
3370	2473-01-0	Nonane,1-chloro-	C9H19Cl	1-chlorononane	InChI=1S/C9H19Cl/c1-2-3-4-5-6-7-8-9-10/h2-9H2,1H3	RKAMCQVGHFRILV-UHFFFAOYSA-N	CCCCCCCCCCl
3371	24772-51-8	Aluminum butan-2-olate (2Z)-4-ethoxy-4-oxobut-2-en-2-olate (1:2:1)	C14H27AlO5	ethyl (Z)-3-di(butan-2-yloxy)alumanyloxybut-2-enoate	InChI=1S/C6H10O3.2C4H9O.Al/c1-3-9-6(8)4-5(2)7;2*1-3-4(2)5;/h4,7H,3H2,1-2H3;2*4H,3H2,1-2H3;/q;2*-1;+3/p-1/b5-4-;;;	FNZMQCYGPHUYMI-OAWHIZORSA-M	CCOC(=O)\C=C(\C)O[Al](OC(C)CC)OC(C)CC
3372	2478-10-06	4-Hydroxybutyl prop-2-enoate	C7H12O3	4-hydroxybutyl prop-2-enoate	InChI=1S/C7H12O3/c1-2-7(9)10-6-4-3-5-8/h2,8H,1,3-6H2	NDWUBGAGUCISDV-UHFFFAOYSA-N	OCCCCOC(=O)C=C
3373	2479-46-1	1,3-Bis(4-aminophenoxy)benzene	C18H16N2O2	4-[3-(4-aminophenoxy)phenoxy]aniline	InChI=1S/C18H16N2O2/c19-13-4-8-15(9-5-13)21-17-2-1-3-18(12-17)22-16-10-6-14(20)7-11-16/h1-12H,19-20H2	WUPRYUDHUFLKFL-UHFFFAOYSA-N	NC1=CC=C(OC2=CC(OC3=CC=C(N)C=C3)=CC=C2)C=C1
3374	24800-44-0	Tripropylene glycol	C9H20O4	1-[2-(1-hydroxypropoxy)propoxy]propan-1-ol	InChI=1S/C9H20O4/c1-4-8(10)12-6-7(3)13-9(11)5-2/h7-11H,4-6H2,1-3H3	SNAJJYBUNRAGEF-UHFFFAOYSA-N	CCC(O)OCC(C)OC(CC)O
3375	24801-88-5	Silane, triethoxy(3-isocyanatopropyl)-	C10H21NO4Si	triethoxy(3-isocyanatopropyl)silane	InChI=1S/C10H21NO4Si/c1-4-13-16(14-5-2,15-6-3)9-7-8-11-10-12/h4-9H2,1-3H3	FRGPKMWIYVTFIQ-UHFFFAOYSA-N	CCO[Si](CCCN=C=O)(OCC)OCC
3376	2481-94-9	C.I. Solvent Yellow 56	C16H19N3	N,N-diethyl-4-phenyldiazenylaniline	InChI=1S/C16H19N3/c1-3-19(4-2)16-12-10-15(11-13-16)18-17-14-8-6-5-7-9-14/h5-13H,3-4H2,1-2H3	SJJISKLXUJVZOA-UHFFFAOYSA-N	CCN(CC)C1=CC=C(C=C1)\N=N\C1=CC=CC=C1
3377	24815-24-5	Rescinnamine	C35H42N2O9	methyl (1R,15S,17R,18R,19S,20S)-6,18-dimethoxy-17-[3-(3,4,5-trimethoxyphenyl)prop-2-enoyloxy]-1,3,11,12,14,15,16,17,18,19,20,21-dodecahydroyohimban-19-carboxylate	InChI=1S/C35H42N2O9/c1-40-21-8-9-22-23-11-12-37-18-20-15-29(46-30(38)10-7-19-13-27(41-2)33(43-4)28(14-19)42-3)34(44-5)31(35(39)45-6)24(20)17-26(37)32(23)36-25(22)16-21/h7-10,13-14,16,20,24,26,29,31,34,36H,11-12,15,17-18H2,1-6H3/t20-,24+,26-,29-,31+,34+/m1/s1	SZLZWPPUNLXJEA-LAFLMMDJSA-N	CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C(NC5=C4C=CC(OC)=C5)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)C=CC1=CC(OC)=C(OC)C(OC)=C1
3378	24817-51-4	2-Phenylethyl 2-methylbutanoate	C13H18O2	2-phenylethyl 2-methylbutanoate	InChI=1S/C13H18O2/c1-3-11(2)13(14)15-10-9-12-7-5-4-6-8-12/h4-8,11H,3,9-10H2,1-2H3	KVKKTLBBYFABAZ-UHFFFAOYSA-N	CCC(C)C(=O)OCCC1=CC=CC=C1
3379	24851-98-7	Methyl dihydrojasmonate	C13H22O3	methyl 2-(3-oxo-2-pentylcyclopentyl)acetate	InChI=1S/C13H22O3/c1-3-4-5-6-11-10(7-8-12(11)14)9-13(15)16-2/h10-11H,3-9H2,1-2H3	KVWWIYGFBYDJQC-UHFFFAOYSA-N	CCCCCC1C(CC(=O)OC)CCC1=O
3380	24886-52-0	Pipofezine	C16H19N5O	5-methyl-3-(4-methylpiperazin-1-yl)pyridazino[3,4-b][1,4]benzoxazine	InChI=1S/C16H19N5O/c1-19-7-9-21(10-8-19)15-11-13-16(18-17-15)22-14-6-4-3-5-12(14)20(13)2/h3-6,11H,7-10H2,1-2H3	SDYYIRPAZHJOLM-UHFFFAOYSA-N	CN1CCN(CC1)C1=CC2=C(OC3=CC=CC=C3N2C)N=N1
3381	2489-77-2	1,1,3-Trimethyl-2-thiourea	C4H10N2S	1,1,3-trimethylthiourea	InChI=1S/C4H10N2S/c1-5-4(7)6(2)3/h1-3H3,(H,5,7)	JAEZSIYNWDWMMN-UHFFFAOYSA-N	CNC(=S)N(C)C
3382	2490-97-3	Nalpha-Acetyl-L-glutamine	C7H12N2O4	2-acetamido-5-amino-5-oxopentanoic acid	InChI=1S/C7H12N2O4/c1-4(10)9-5(7(12)13)2-3-6(8)11/h5H,2-3H2,1H3,(H2,8,11)(H,9,10)(H,12,13)	KSMRODHGGIIXDV-UHFFFAOYSA-N	CC(=O)NC(CCC(N)=O)C(O)=O
3383	2491-38-5	2-Bromo-4-hydroxyacetophenone	C8H7BrO2	2-bromo-1-(4-hydroxyphenyl)ethanone	InChI=1S/C8H7BrO2/c9-5-8(11)6-1-3-7(10)4-2-6/h1-4,10H,5H2	LJYOFQHKEWTQRH-UHFFFAOYSA-N	OC1=CC=C(C=C1)C(=O)CBr
3384	24916-51-6	Spiramycin II	C45H76N2O15	[(4R,5S,6S,7R,9R,10R,11E,13E,16R)-6-[(2S,3R,4R,5S,6R)-5-[(2S,4R,5S,6S)-4,5-dihydroxy-4,6-dimethyloxan-2-yl]oxy-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-10-[(2S,5S,6R)-5-(dimethylamino)-6-methyloxan-2-yl]oxy-5-methoxy-9,16-dimethyl-2-oxo-7-(2-oxoethyl)-1-oxacyclohexadeca-11,13-dien-4-yl] acetate	InChI=1S/C45H76N2O15/c1-25-22-31(20-21-48)41(62-44-39(51)38(47(10)11)40(28(4)58-44)61-37-24-45(7,53)43(52)29(5)57-37)42(54-12)34(59-30(6)49)23-35(50)55-26(2)16-14-13-15-17-33(25)60-36-19-18-32(46(8)9)27(3)56-36/h13-15,17,21,25-29,31-34,36-44,51-53H,16,18-20,22-24H2,1-12H3/b14-13+,17-15+/t25-,26-,27-,28-,29+,31+,32+,33+,34-,36-,37+,38-,39-,40-,41+,42+,43+,44+,45-/m1/s1	ZPCCSZFPOXBNDL-TXJOLGFOSA-N	CO[C@H]1[C@@H](CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O[C@@H]2CC[C@@H]([C@@H](C)O2)N(C)C)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C)OC(C)=O
3385	2492-26-4	Sodium 2-mercaptobenzothiolate	C7H4NNaS2	sodium;1,3-benzothiazole-2-thiolate	InChI=1S/C7H5NS2.Na/c9-7-8-5-3-1-2-4-6(5)10-7;/h1-4H,(H,8,9);/q;+1/p-1	VLDHWMAJBNWALQ-UHFFFAOYSA-M	[Na+].[S-]C1=NC2=CC=CC=C2S1
3386	249296-43-3	CJ-013610	C23H27N3O5S2	methanesulfonic acid;4-[3-[4-(2-methylimidazol-1-yl)phenyl]sulfanylphenyl]oxane-4-carboxamide	InChI=1S/C22H23N3O2S.CH4O3S/c1-16-24-11-12-25(16)18-5-7-19(8-6-18)28-20-4-2-3-17(15-20)22(21(23)26)9-13-27-14-10-22;1-5(2,3)4/h2-8,11-12,15H,9-10,13-14H2,1H3,(H2,23,26);1H3,(H,2,3,4)	WRQQAESBKZTAFL-UHFFFAOYSA-N	CS(O)(=O)=O.CC1=NC=CN1C1=CC=C(SC2=CC=CC(=C2)C2(CCOCC2)C(N)=O)C=C1
3387	2493-84-7	4-Octyloxybenzoic acid	C15H22O3	4-octoxybenzoic acid	InChI=1S/C15H22O3/c1-2-3-4-5-6-7-12-18-14-10-8-13(9-11-14)15(16)17/h8-11H,2-7,12H2,1H3,(H,16,17)	IALWCYFULVHLEC-UHFFFAOYSA-N	CCCCCCCCOC1=CC=C(C=C1)C(O)=O
3388	24934-91-6	Chlormephos	C5H12ClO2PS2	chloromethylsulfanyl-diethoxy-sulfanylidene-$l^{5}-phosphane	InChI=1S/C5H12ClO2PS2/c1-3-7-9(10,8-4-2)11-5-6/h3-5H2,1-2H3	QGTYWWGEWOBMAK-UHFFFAOYSA-N	CCOP(=S)(OCC)SCCl
3389	2495-25-2	Tridecyl methacrylate	C17H32O2	tridecyl 2-methylprop-2-enoate	InChI=1S/C17H32O2/c1-4-5-6-7-8-9-10-11-12-13-14-15-19-17(18)16(2)3/h2,4-15H2,1,3H3	KEROTHRUZYBWCY-UHFFFAOYSA-N	CCCCCCCCCCCCCOC(=O)C(C)=C
3390	2495-37-6	Benzyl methacrylate	C11H12O2	benzyl 2-methylprop-2-enoate	InChI=1S/C11H12O2/c1-9(2)11(12)13-8-10-6-4-3-5-7-10/h3-7H,1,8H2,2H3	AOJOEFVRHOZDFN-UHFFFAOYSA-N	CC(=C)C(=O)OCC1=CC=CC=C1
3391	2495-39-8	2-Propene-1-sulfonic acid, sodium salt	C3H5NaO3S	sodium;prop-2-ene-1-sulfonate	InChI=1S/C3H6O3S.Na/c1-2-3-7(4,5)6;/h2H,1,3H2,(H,4,5,6);/q;+1/p-1	DIKJULDDNQFCJG-UHFFFAOYSA-M	[Na+].[O-]S(=O)(=O)CC=C
3392	2497-06-05	Disulfoton sulfone	C8H19O4PS3	diethoxy-(2-ethylsulfonylethylsulfanyl)-sulfanylidene-$l^{5}-phosphane	InChI=1S/C8H19O4PS3/c1-4-11-13(14,12-5-2)15-7-8-16(9,10)6-3/h4-8H2,1-3H3	BKVJOVPVLOJPKJ-UHFFFAOYSA-N	CCOP(=S)(OCC)SCCS(=O)(=O)CC
3393	2497-21-4	4-Hexen-3-one	C6H10O	hex-4-en-3-one	InChI=1S/C6H10O/c1-3-5-6(7)4-2/h3,5H,4H2,1-2H3	FEWIGMWODIRUJM-UHFFFAOYSA-N	CCC(=O)C=CC
3394	24973-25-9	2,5-Dimethoxyamphetamine hydrochloride	C11H18ClNO2	1-(2,5-dimethoxyphenyl)propan-2-amine;hydrochloride	InChI=1S/C11H17NO2.ClH/c1-8(12)6-9-7-10(13-2)4-5-11(9)14-3;/h4-5,7-8H,6,12H2,1-3H3;1H	OLBMBFHNGDUGST-UHFFFAOYSA-N	Cl.COC1=CC(CC(C)N)=C(OC)C=C1
3395	2499-59-4	Octyl prop-2-enoate	C11H20O2	octyl prop-2-enoate	InChI=1S/C11H20O2/c1-3-5-6-7-8-9-10-13-11(12)4-2/h4H,2-3,5-10H2,1H3	ANISOHQJBAQUQP-UHFFFAOYSA-N	CCCCCCCCOC(=O)C=C
3396	2499-95-8	Hexyl acrylate	C9H16O2	hexyl prop-2-enoate	InChI=1S/C9H16O2/c1-3-5-6-7-8-11-9(10)4-2/h4H,2-3,5-8H2,1H3	LNMQRPPRQDGUDR-UHFFFAOYSA-N	CCCCCCOC(=O)C=C
3397	25013-15-4	Vinyltoluene	C9H10	1-ethenyl-3-methylbenzene	InChI=1S/C9H10/c1-3-9-6-4-5-8(2)7-9/h3-7H,1H2,2H3	JZHGRUMIRATHIU-UHFFFAOYSA-N	CC1=CC=CC(=C1)C=C
3398	25013-16-5	Butylated hydroxyanisole	C11H16O2	2-tert-butyl-4-methoxyphenol	InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3	MRBKEAMVRSLQPH-UHFFFAOYSA-N	CC(C)(C)C1=C(C=CC(=C1)OC)O
3399	25046-79-1	Glisoxepide	C20H27N5O5S	N-[2-[4-(azepan-1-ylcarbamoylsulfamoyl)phenyl]ethyl]-5-methyl-1,2-oxazole-3-carboxamide	InChI=1S/C20H27N5O5S/c1-15-14-18(23-30-15)19(26)21-11-10-16-6-8-17(9-7-16)31(28,29)24-20(27)22-25-12-4-2-3-5-13-25/h6-9,14H,2-5,10-13H2,1H3,(H,21,26)(H2,22,24,27)	ZKUDBRCEOBOWLF-UHFFFAOYSA-N	CC1=CC(=NO1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1
