1000287-05-7	DB15623	HIV-1 protease
674782-26-4	DB05941	CCR5
677297-51-7	DB05552	PIK3CD; PIK3CG
677324-53-7	DB09107	EPOR
6779-87-9	DB04400	TH; PCBD1; PAH; PTR1; NOS2; folB
679818-59-8	DB06650	MS4A1
68-23-5	DB09371	ESR1; AR; SHBG
68-95-1	DB03360	carC
680188-33-4	DB12698	CD4; CCR5; CXCR4
6803-19-6	DB03686	GSTP1
68392-35-8	DB04468	ESR2; ESRRG; ESR1; TFF1; ESRRA; NR1I2; SHBG
68506-86-5	DB01080	GABBR1; ABAT
68562-41-4	DB01277	IGF1R; IGFBP3; INSR; IGF2R
685898-44-6	DB06082	HIF1A
688-73-3	DB08601	NCOA2; RXRA
689293-68-3	DB09050	ponB; pbpB; dacA; dacB; dacC; mrcA; mrcB; mrdA; ftsI; pbpC; mrdA
68957-71-1	DB03442	ATIC
69-33-0	DB03172	deoD
6909-30-4	DB02924	LCN9
697761-98-1	DB09101	pol
6983-36-4	DB02320	PYGM; PYGL
698394-73-9	DB15250	CCR9
6998-60-3	DB11753	rpoB; rpoA; rpoC
69984-73-2	DB02451	cbaA; cbaB; cbaD; RHO; AQP1; CLPS; PNLIP; cbaA; cbaB; MIP; glpG; KCNJ3; ; adiC
701205-60-9	DB06140	HTR6
706808-37-9	DB06681	CD86; CD80
70982-53-5	DB03214	ACCS; IL4I1
71031-08-8	DB02945	cslA
71195-57-8	DB04889	SLC6A2; SLC6A4; DRD2
714272-27-2	DB05992	TNF
7148-51-8	DB01889	NR1I3
71807-09-5	DB03430	LCTL
7182-53-8	DB09300	CHRM3; CHRM2
71939-50-9	DB11638	ACTG1; ALDH7A1; ANXA2; ATP5A1; ATP5L; ATP5O; CAST; CCT3; CFL1; CLIC1; CSRP1; DPYSL2; DSP; EEF1A1; ENO1; FLNA; FTO; G6PD; GAPDHS; GPI; HNRNPA2B1; HNRNPD; HNRNPK; HP1BP3; HSPB1; IQGAP1; KHSRP; LDHA; LDHB; LGALS1; MAP4; MDH1; NPEPPS; PFN1; PGK1; PKM; PPIA; PRDX1; RPL10; RPL14; RPL18; RPL23A; RPL35; RPL4; RPS13; RPS17; RPS18; RPS19; RPS28; RPS5; RPS6; RPS8; RPS9; SF1; SFPQ; SNRPD2; SRP14; SRSF4; TAGLN; TAGLN2; TPI1; TPM1; TUBA1A; VIM; ZYX; HSPA8; TUBB6; TUBB4A; TUBB; ALDOA; GAPDH; CYCS; PGAM1; MYH9; P4HB; DDX5; SHMT2; DDX39B; NPM1; TCTP; serca; OAT; MEF-1; MDR1; ; ; GAPDH; ; ; ; H45; ; ; ; ; ; ; ; ; LACZ; ENO; ; ; ; ; ; ; ; ; ; ; ; ; SERA5; ; GBP; ATP6; vapA; ; ACS3; ; ; CRT; ; ; ; ; ; ; ; ; ; ; ; ; MSP-1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; HK; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; TPx1; Sec31p; ; RESA; UAP56; CPK4; ; ; ; ; ; ; ; PKAr; ; tlp1; ; ; ; ; pdx1; ALB
72025-60-6	DB08855	CYSLTR1; CYSLTR2; ABCC1
722533-56-4	DB06374	ESR1
72590-77-3	DB14543	ANXA1; NR3C1; HSD11B2; HSD3B1
727685-49-6	DB07488	CSNK1G3
72797-41-2	DB09289	GRIA1; OPRM1; HTR1A; DRD3
7296-60-8	DB04286	rbsB; rbsD
73-04-1	DB01860	PAPOLA
73018-10-7	DB03329	CTSB
73094-37-8	DB07705	cyp130; CYP51A1
7314-32-1	DB03790	katA
73543-67-6	DB07302	PPARG
73573-87-2	DB00983	ADRB2; ADRB1; ADRB3
7361-61-7	DB11477	ADRA2A; ADRA2B; ADRA2C
7362-37-0	DB08587	xynY
738606-46-7	DB11936	ACLY
740028-90-4	DB00986	CHRM1; CHRM3; CHRM2
74050-20-7	DB14538	ANXA1; NR3C1; HSD11B2; HSD3B1
740873-06-7	DB05562	HTR1A
742092-03-1	DB05168	FOLR2; FOLR3; FOLR1
7439-93-2	DB01356	GSK3B; IMPA1; IMPA2; GRIA3
7439-96-5	DB06757	IDH3A; IDH3G; TAB1; ARG1; TF
74397-12-9	DB09211	PTGER1; PTGER2; PTGER3; PTGER4
7440-47-3	DB11136	CYB5A
7446-70-0	DB11081	GLUD1
745833-23-2	DB05470	MAPK14; TNF; IL1B; IL6
746658-13-9	DB09318	ESR1
74899-71-1	DB14999	IFNAR1
74899-72-2	DB00011	IFNAR2; IFNAR1
7519-74-6	DB02851	camC
752222-83-6	DB05936	ADORA2B
7534-35-2	DB03859	celCCG
75567-37-2	DB05013	PRKCD; PRKCA
75696-02-5	DB01594	GABRA1; GABRA2; GABRA3; GABRA5; GABRG1; GABRG2; GABRG3; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRP; GABRR1; GABRR2; GABRR3
757971-58-7	DB06205	TGFB1
758669-50-0	DB05710	CHRNA3
75970-99-9	DB06457	KCNH2
7631-86-9	DB11132	MARCO
763113-22-0	DB09074	PARP1; PARP2; PARP3
76426-40-9	DB02844	speE
7646-85-7	DB14533	BDKRB1; MGMT; ALDOA; EEF1A1; ENO1; GAPDHS; NME1; P4HB; PDIA3; PRDX1; PSPH; TPI1; TUFM; ESR1; IL3; MT2A; CCS; HDAC1; HDAC4; MPG; SEMG1; SOD1; HDAC8; SIVA1; GLRA1; MDM2; INS; UTRN; ASPA; S100A8; S100A9; MMP9; TP73; S100A2; TP53; MT3; MT1A; A2M; AHSG; APOA1; APOBR; APOE; APOL1; C1QB; C1QC; C1R; C1S; C3; C4B; C4BPA; C4BPB; C5; BRCC3; CFH; CLU; CP; CPN1; CPN2; DCD; FGA; FN1; HBA1; HBB; HP; IGFALS; ITIH1; ITIH2; ITIH3; ITIH4; JCHAIN; KLKB1; KNG1; KRT9; ORM2; PGLYRP2; PON1; PZP; S100A7; SEPP1; SERPINA1; SERPINA3; SERPINA6; SERPIND1; SHBG; TF; TTR; VTN; APLP1; APLP2; APP; PARP1; APOB; HPX; HRG; F11; APOBEC1; SEMG2
76543-88-9	DB00034	IFNAR1; IFNAR2
7658-08-4	DB03773	AMY2A; ; ; galM; amyA
765922-62-1	DB09151	APP
766536-21-4	DB03367	MMP12
76706-55-3	DB04741	UQCRC1
76721-89-6	DB08626	MME
76932-56-4	DB00666	GNRHR; GNRHR2
77-23-6	DB11186	SIGMAR1; KCNH2; SCN1A; SCN10A; SCN11A; SCN2A; SCN3A; SCN4A; SCN5A; SCN7A; SCN8A; SCN9A; OPRK1; OPRM1
77-39-4	DB00942	CHRM1
77083-53-5	DB07467	CA2
7720-78-7	DB13257	HBA1; TFRC; TFR2
7732-97-0	DB13955	ESR1; NR1I2; ESR2; CHRNA4; NCOA2; GPER1; MT-ATP6; BECN1; HSD17B2; ESRRG
77482-44-1	DB04489	CPD
7757-79-1	DB11090	KCNH2
7759-35-5	DB14583	PGR; AR; NR3C1
7778-74-7	DB09418	SLC5A5
7778-80-5	DB14499	ATP1A1
7782-77-6	DB09112	HBA1; HBB; MB
7784-30-7	DB14517	TF; ATP1A1; KLK1; APP
7789-77-7	DB14481	CASR; CALR; CIB1; PDCD6; SRI; CHP1; SPARC; CANX; FBN2; S100B; CASQ2; RGN; PEF1; S100A6; TPT1; CIB2; S100A13; CASQ1; NUCB1; NUCB2; CALM1; FBN3; GCA; CADPS; CALM2; CALM3; S100A16; CALB2; CAPS; CADPS2; CALR3; NRXN1; NCS1
78-11-5	DB06154	HBA1; HBB
78-92-2	DB02606	adh
78-96-6	DB02576	glmS
78038-42-3	DB04782	dehB
781613-23-8	DB11973	EGF; EPHB4; ERBB2
782500-75-8	DB09043	GLP1R
78370-13-5	DB14064	ABCB1
78617-12-6	DB03338	PPARD; FKBP1A
787548-03-2	DB05553	P2RY12
78859-33-3	DB07543	E; ADRB2
79-83-4	DB01783	coaA
791073-97-7	DB05121	HLA-DRA; HLA-DRB3; HLA-DRB4; HLA-DRB5; HLA-DRB1; HLA-DRB1; HLA-DRB1; HLA-DRB1; HLA-DRB1; HLA-DRB1; HLA-DRB1; HLA-DRB1; HLA-DRB1; HLA-DRB1; HLA-DRB1; HLA-DRB1; HLA-DRB1
79338-84-4	DB06083	IL12B; IL2; IL6; CXCL8
79490-84-9	DB00221	ADRB1; ADRB2
79647-29-3	DB02562	PAH
79831-76-8	DB01816	XOG1
80-74-0	DB14033	folP
8000-34-8	DB11338	VCAM1; CXCL10; COL1A1; CSF2RA
8001-22-7	DB09422	PPARA
8001-79-4	DB11113	PTGER3; PTGER4
8003-34-7	DB11087	NR1I2
8008-60-4	DB11130	OPRD1; OPRK1; OPRM1
8017-89-8	DB01612	NPR1
8023-77-6	DB11131	TRPV1
80295-38-1	DB09228	C1R; C1S; KLKB1; F12; F2; F11; PLAT
803712-67-6	DB12191	BCL2
80529-93-7	DB00789	PGD
8063-17-0	DB09363	SLC18A2
8067-24-1	DB01049	DRD1; DRD5; DRD2; DRD3; DRD4; ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3; HTR1A; HTR1B; HTR1D; HTR1E; HTR1F; HTR2A; HTR2B; HTR2C; HTR3A; HTR3B; HTR3C; HTR3D; HTR3E; HTR4; HTR6; HTR7
80860-82-8	DB04438	
80890-47-7	DB14062	ABCB1
815588-85-3	DB05644	gag-pol
815610-63-0	DB05679	IL12B; IL12B; IL23A
81604-85-5	DB04408	ncsA
81669-57-0	DB00029	PLG; FGA; PLAUR; SERPINE1
81801-12-9	DB13781	ADRB1
81846-19-7	DB00374	PTGIR; PPARD; P2RY12
820-11-1	DB04510	PGK1; pgk/tpi; TPI; gpmI; PGAM2; TPI1
82030-87-3	DB09098	GHR; IGF1R
82034-46-6	DB14596	NR3C1
82854-37-3	DB15488	GHSR; AR
82964-04-3	DB02383	AKR1B1; AKR1A1; AKR1B10
83712-60-1	DB04932	ADORA1; ADORA2A; ADORA2B
838853-48-8	DB13615	TLR4; NOD2
83919-23-7	DB14512	NR3C1; PGR
84-53-7	DB02714	RNASE1
844439-96-9	DB09564	INSR; IGF1R
84444-90-6	DB03955	MAN2A1
845256-65-7	DB08037	KIF11
845272-21-1	DB05944	ERBB2; EGFR
84573-16-0	DB15495	PHB; PHB2
845816-02-6	DB06599	TNFRSF10B
84625-59-2	DB06446	HTR2A; HTR1A; CACNA1A; HTR2C
84720-88-7	DB11166	F2; F10
848-75-9	DB13872	GABRA2; GABRG2; GABRA3; GABRA5; GABRA1
848084-83-3	DB04985	RPSA
849217-64-7	DB12307	HGF; KDR
849675-66-7	DB14070	ABCB1
85-18-7	DB14132	ADORA2A
850635-41-5	DB08306	ampC
850876-88-9	DB11779	
851627-62-8	DB05968	TNF
85166-31-0	DB03401	CYTH2; EPN1; PLCD1; RDX; SPTBN1; ITPR1; ITPKA
851776-28-8	DB05939	GPER1
853426-35-4	DB09052	CD19; CD3D
85416-75-7	DB04149	PDE4B; PDE4D
85650-52-8	DB00370	HTR2A; ; ADRA2A; HTR2C; OPRK1; HRH1; ADRA1A; ADRA1B; ADRA1D
856680-67-6	DB08263	HIF1AN
860005-21-6	DB11660	PTGFR
860174-12-5	DB05542	HTR4
86052-04-2	DB01439	OPRM1; OPRD1; OPRK1
86168-78-7	DB00010	GHRHR
862111-32-8	DB08885	VEGFA; PGF; VEGFB
862501-61-9	DB06127	DPP4
86303-23-3	DB01890	IGF1; PPARA
863434-13-3	DB13119	gag-pol
864070-44-0	DB09038	SLC5A2
864668-87-1	DB05959	TNFRSF11A; HIF1A; STAT3
864750-70-9	DB11855	CHRM1; CHRM2; CHRM3; CHRM4; CHRM5
866323-14-0	DB05015	HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9
866933-46-2	DB12702	HTR4
867160-71-2	DB06075	IGF1R
867276-98-0	DB05047	GRIA4; BDNF; GRIA1; GRIA2; GRIA3
868049-49-4	DB09080	ADRB2
869572-92-9	DB12020	
869769-98-2	DB12960	CCR5
869858-13-9	DB11572	F5; F8; FGA; FGB; FGG
869886-67-9	DB13930	MAPK3; MAPK1
87-00-3	DB11181	CHRM1; CHRM2; CHRM3; CHRM4; CHRM5
87-28-5	DB11323	PTGS1; PTGS2
87056-78-8	DB09097	DRD2; DRD1; DRD5
871357-89-0	DB06347	AURKA
871576-03-3	DB05714	F2
872689-63-9	DB02137	mop
873857-62-6	DB08874	sigA1
87392-05-0	DB03051	qheDH; putA
87806-31-3	DB00707	LDLR; FCGR1A
87857-41-8	DB14071	ABCB1
878672-00-5	DB11560	SLC22A12; SLC22A11
87913-21-1	DB04788	rpoB; rpoC
87980-11-8	DB02054	OAT; hemL
880149-29-1	DB09275	clpX
880486-59-9	DB12589	CD40
88430-50-6	DB05229	PTGIR
884604-91-5	DB06720	GBA
885060-09-3	DB06040	KIF11
88660-47-3	DB11275	DRD1; DRD5; DRD2; DRD3; DRD4
88899-55-2	DB06733	ATP6V1A
88899-56-3	DB06734	ATP6V1A
89-46-3	DB11201	PTGS1; PTGS2
890056-27-6	DB05487	ESR1; NFKB2; NFKB1
891-60-1	DB06421	TOP2A; TOP2B
89226-50-6	DB09238	CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CACNA1A; CACNA1G; CACNA1H; CACNA1I
896723-44-7	DB05595	FOLR1
897016-82-9	DB06137	SRC
898562-94-2	DB08387	PDE10A
9000-11-7	DB11059	SLC2A1
9000-45-7	DB11605	NR1H4; NR1I2; PPARA
9000-94-6	DB11598	SERPINC1
9001-09-6	DB06752	PRG2
9001-12-1	DB00048	COL1A1; COL2A1; COL3A1; COL1A2
9001-26-7	DB11311	FGA; FGB; F13A1; CPB2
9001-73-4	DB11193	TLR4
9002-01-1	DB00086	PLG; F2R
9002-04-4	DB11571	F5; F8; F11; F13A1; F13B; FGA; FGB; FGG
9002-61-3	DB09126	LHCGR
9002-64-6	DB05829	PTH1R; PTH2R
9002-68-0	DB00032	FSHR; LHCGR
9002-96-4	DB11635	ABCB1
9004-09-5	DB05254	SERPINE1; PLAU
9004-61-9	DB08818	CD44; ICAM1; HMMR; NCAN; VCAN; C1QBP; HAPLN1; HAPLN3; HAPLN4; HABP2; LAYN; STAB2; TNFAIP6; IMPG2; HABP4
9004-65-3	DB11075	EPCAM
9004-66-4	DB00893	HBB; HBA1; FTH1; FTL
90045-36-6	DB01381	SLC6A2; PLA2G2A; GLRA1; GABRA1; GABRB2; GABRG2
9005-49-6	DB15404	SERPINC1; VEGFA; TFPI; SELP
9005-80-5	DB00638	cft
9005-90-7	DB11120	MAPK1
9009-65-8	DB09141	F10; SERPINC1
9011-97-6	DB08862	CCKAR; RAF1; MAPK3; EGF; PRKCB; CCKBR
901119-35-5	DB12010	SYK; ADORA3; VMAT2; FAAH; SLC29A1; UGT1A1; PDE5A; ALOX5; CTSS; CTSL; ABL1; CPK1; pknB; RPS6KA6; TYK2; COQ8A; JAK1; MET; NIM1K; STK26; PRKACA; STK24; STK3; TEC; STK33; STK35; STK36; STK38; STK38L; STK39; TAOK1; TAOK2; TAOK3; TBK1; TEK; TESK1; TGFBR1; TGFBR2; TIE1; TLK1; TLK2; TNIK; TNK1; TNK2; TNNI3K; TSSK1B; TTK; TXK; TYRO3; ULK1; ULK2; ULK3; WEE1; YES1; MAP3K19; ZAK; ZAP70; AAK1; ABL2; ACVR1; ACVR1B; COQ8B; ALK; ANKK1; AURKA; AURKB; AURKC; AXL; BLK; BMP2K; BMPR1B; BMPR2; BMX; BRAF; BTK; CAMK1; CAMK1D; CAMK1G; CAMK2A; CAMK2B; CAMK2D; CAMK2G; CAMKK1; CAMKK2; CASK; CSN3; CDK1; CDC42BPG; CDK4; CDKL1; CDKL2; CHEK1; CHEK2; CIT; CLK1; CLK2; CLK3; CLK4; CSF1R; CSK; CSNK1A1; CSNK2A1; CSNK2A2; DAPK1; DAPK2; DAPK3; DCLK1; DCLK2; DCLK3; DDR1; DDR2; DYRK1A; DYRK1B; EGFR; EIF2AK1; EIF2AK2; EIF2AK4; EPHA1; EPHA2; EPHA3; EPHA4; EPHA5; EPHA6; EPHA7; EPHA8; EPHB1; EPHB2; EPHB4; EPHB6; ERBB2; ERBB4; ERN1; FER; FES; FGFR1; FGFR2; FGFR3; FGR; FLT1; FLT3; FLT4; MTOR; FRK; FYN; GAK; GSK3A; GSK3B; HCK; HIPK2; HIPK3; ICK; IKBKB; IKBKE; INSR; INSRR; IRAK1; IRAK3; IRAK4; ITK; JAK2; JAK3; KDR; SIK3; KIT; LATS1; LCK; LIMK1; LIMK2; LRRK2; LTK; LYN; MAP2K2; MAP2K3; MAP2K5; MAP2K6; MAP3K1; MAP3K10; MAP3K11; MAP3K12; MAP3K13; MAP3K15; MAP3K2; MAP3K3; MAP3K4; MAP3K6; MAP3K9; MAP4K1; MAP4K2; MAP4K3; MAP4K4; MAP4K5; MAPK10; MAPK13; MAPK14; MAPK15; MAPK4; MAPK7; MAPK9; MAPKAPK5; MARK1; MARK2; MARK3; MARK4; CLASP1; MAST1; MATK; MELK; MERTK; MINK1; MKNK1; MKNK2; MST1R; MUSK; MYLK; MYLK2; MYLK3; MYLK4; MYO3A; NEK1; NEK11; NEK2; NEK3; NEK4; NEK5; NEK9; NTRK1; NTRK2; NTRK3; NUAK1; NUAK2; OXSR1; PAK1; PAK2; PAK3; PAK4; PAK6; PAK5; CDK16; CDK17; PDGFRA; PDGFRB; PDPK1; CDK15; PHKG1; PI4KB; PIK3C2B; PIK3C2G; PIK3CD; PIK3CG; PIM1; PIM3; PIP4K2B; PIP4K2C; PKMYT1; PKN1; PKN2; PLK1; PLK2; PLK3; PLK4; PRKAA1; PRKAA1; PRKAA2; PRKAB1; PRKAB2; PRKAG1; PRKAG2; PRKAG3; PRKACB; PRKCD; PRKCE; PRKCG; PRKCI; PRKCQ; PRKD1; PRKG2; PRPF4B; PTK2; PTK2B; PTK6; RAF1; RET; RIOK1; RIOK2; RIOK3; RIPK1; RIPK2; RIPK4; ROCK2; ROS1; RPS6KA1; RPS6KA3; SBK1; SBK3; SGK3; SIK1; SIK2; SLK; SNRK; SRC; SRMS; STK10; STK16; STK17A; STK17B; STK32A
90139-06-3	DB15565	ACE
9014-42-0	DB06534	MPL
902143-01-5	DB09148	APP
90293-62-2	DB08636	nahD
903512-50-5	DB06360	CD40
90357-06-5	DB01128	AR
903580-39-2	DB05993	HTR6
9039-53-6	DB00013	PLG; PLAUR; SERPINE1; SERPINB2; SERPINA5; LRP2; ST14; NID1
9041-08-1	DB09259	SERPINC1; ITGA4; CXCL12
9041-92-3	DB00058	ELANE
9046-56-4	DB05099	FGA
90566-53-3	DB13867	NR3C1; PGR; PLA2G4A; NR3C2
906450-24-6	DB05931	KDR
906805-06-9	DB09559	EGFR
90779-69-4	DB09059	OXTR; AVPR1A; AVPR1B; AVPR2
908115-27-5	DB06070	HSP90AA1; HSP90AB1
9087-70-1	DB06692	PRSS1; CTRB1; PLG; KLK1
909395-70-6	DB11866	SOST
909402-77-3	DB05209	RHD
909712-41-0	DB05301	PLD1; CASP1
91-85-0	DB11235	HRH1; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5
910463-68-2	DB13928	GLP1R
913541-47-6	DB05678	MTTP
913548-29-5	DB06345	EPHX2
913623-69-5	DB08044	DPP4
913976-27-9	DB08894	EPOR
913978-37-7	DB06011	DPP4
914088-09-8	DB08870	TNFRSF8
91421-42-0	DB06159	TOP1
91449-79-5	DB09258	F10; SERPINC1; SERPIND1
914613-48-2	DB06168	IL1B
915019-08-8	DB12747	TERT
915296-00-3	DB06317	SLAMF7
915810-67-2	DB06081	VWF
915947-57-8	DB05945	ANTXR2; ANTXR1
916055-93-1	DB06800	OPRM1; OPRK1
916072-89-4	DB11691	OPRM1; OPRD1; OPRK1
916138-87-9	DB05304	CA9; IL2
916742-11-5	DB06321	JAK3
917381-47-6	DB06688	ACPP
91840-07-2	DB03956	PLCD1
919-16-4	DB14507	IMPA2; IMPA1; GSK3B; GRIA3
92-12-6	DB11160	Hrh1
92-84-2	DB11447	AR
920035-77-4	DB08460	gag-pol
92118-27-9	DB04106	TXNRD1
921206-68-0	DB05014	FGFR3; FGFR1; KDR; FLT3; PDGFRB; RET
92129-86-7	DB11601	TLR2
923287-50-7	DB11632	COMT
923564-51-6	DB12340	BCL2; BCL2L2; BAD
923604-59-5	DB06290	
923950-08-7	DB09045	GLP1R
923978-27-2	DB05187	PPARA; PPARD; PPARG
925218-37-7	DB07266	AURKA
92689-49-1	DB06420	TOP2A
927691-21-2	DB08391	PDE10A
927880-90-8	DB05984	KDR; BRAF
928134-65-0	DB11837	CYP11B1; CYP11B2
92953-54-3	DB02595	slt; mltB
931402-35-6	DB12845	MSLN
93384-43-1	DB00083	SNAP25; RHOB
93384-44-2	DB00042	VAMP2; VAMP1; SYT2
934526-89-3	DB11772	PIK3CA
934760-90-4	DB05188	PPARD
934823-49-1	DB12077	TNFRSF9
934868-74-3	DB05202	VWF; GP1BA
935776-74-2	DB12579	DRD2
936350-00-4	DB06346	ALOX5AP
936500-94-6	DB06350	P2RY12
937263-43-9	DB11652	ERBB2; ERBB3
937402-51-2	DB05463	TLR9
94-25-7	DB11148	CACNG1; CACNG2; CACNG3; CACNG4; CACNG5; CACNG6; CACNG7; CACNG8; CACNA2D1; CACNA2D2; CACNA2D3; CACNA2D4; CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CACNA1B; CACNA1A; CACNA1E; CACNA1G; CACNA1H; CACNA1I; KCNJ1; KCNJ10; KCNJ11; KCNJ12; KCNJ14; KCNJ15; KCNJ8; TRPA1; TRPV4
942437-37-8	DB13994	GABRA3; GABRA2
943609-66-3	DB09033	ITGA4; ITGB7
945228-48-8	DB05319	EPCAM
945721-28-8	DB09331	CD38
946414-94-4	DB09035	PDCD1
946414-98-8	DB06116	CXCL10
947687-12-9	DB12250	IGF1R
947687-13-0	DB05578	KDR
949-45-1	DB04058	; CPA1
949142-50-1	DB08935	MS4A1
94948-59-1	DB11626	TNFRSF1A; TNFRSF1B
953400-68-5	DB11914	IL13; IL13
956103-76-7	DB09149	APP
957255-05-9	DB05530	TLR9
959343-20-5	DB01496	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; CHRNA4; CHRNA7; GRIA2; GRIK2
959961-96-7	DB06642	VEGFA
96519-18-5	DB01981	cgiA
96847-54-0	DB08918	SLC6A4; SLC6A2
96946-41-7	DB00565	CHRNA2
97048-13-0	DB00094	FSHR
97068-30-9	DB05129	TOP1; TOP2A
97161-97-2	DB02152	MET; MAP2K1
979-32-8	DB13956	ESR1; NR1I2; ESR2; CHRNA4; NCOA2; GPER1; MT-ATP6; BECN1; HSD17B2; ESRRG
98059-61-1	DB00033	IFNGR1; IFNGR2
98530-12-2	DB00105	IFNAR2; IFNAR1
98530-76-8	DB00055	F8; F5; SERPINE1; THBD; PROS1; CP; F2; PF4; SERPINA5; SERPINB6; GGCX; PROCR
987-78-0	DB12153	licC
99207-33-7	DB04188	SMOX
997-68-2	DB04207	AASS
998-06-1	DB04372	PCTP
