100-02-7	SULT1A1; AMY2B
28911-01-5	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRG1; GABRG2; GABRG3; GABRD; GABRE; GABRP; GABRR1; GABRR2; GABRR3; GABRQ; TSPO; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
289665-92-5	chiB1; CHIT1
28981-97-7	GABRA1; GABRA6; TSPO; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; GABRA3; GABRA4; GABRA5; GABRA2
289893-25-0	SOD1
290297-26-6	TACR1
29094-61-9	ABCC8; PPARG
29096-93-3	petB; petC; petD; petA; petG; petL; petM; petN
29110-47-2	ADRA2A; ADRA2B
29122-68-7	ADRB1; ADRB2
29216-28-2	HRH1
29218-27-7	MAOA
2922-56-7	GSTM2
29342-05-0	ATP1A1
293754-55-9	NR1H2; NCOA2; RXRB; NR1H3; NCOA1; NR1I2
2942-42-9	NOS3; NOS2
2955-38-6	GABRA1; GABRA2; GABRA3; GABRA5; GABRG1; GABRG2; GABRG3; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRP; GABRR1; GABRR2; GABRR3; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
2956-16-3	B4GALT1; ABO; GALE
29679-58-1	PTGS2; PTGS1; PPARA; PPARG
297-76-7	PGR; ESR1
29706-85-2	DTYMK; tmk
29710-31-4	ethR
29741-00-2	UMPS; pyrF
2976-75-2	gag-pol; gag-pol
29767-20-2	TOP2A
298-12-4	glcB; icl; glcB; rraA
298-46-4	SCN1A; SCN10A; SCN11A; SCN2A; SCN3A; SCN4A; SCN5A; SCN7A; SCN8A; SCN9A; CHRNA4; NR1I2
298-50-0	CHRM1
2986-20-1	nos; NOS2; NOS3
299-42-3	SLC6A2; ADRA1A; SLC18A2; ACHE
29908-03-0	GNMT; AMD1; MAT2A; CBS; MAT1A; COMT; CMTR1; AS3MT
29975-16-4	GABRA1; GABRA2; GABRA3; GABRA5; GABRG1; GABRG2; GABRG3; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRP; GABRR1; GABRR2; GABRR3; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
2998-57-4	MAP2; MAP1A; ESR1; ESR2
300-39-0	PKIA; PRKACA; ; PRSS1; nikA; IYD
300-62-9	SLC18A2; SLC6A3; CARTPT; TAAR1; SLC6A2; ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3; DRD2; MAOB; SLC6A4; MAOA; MAOB; VMAT2
302-79-4	RXRB; RXRG; RARG; ALDH1A1; GPRC5A; NR0B1; ALDH1A2; RARRES1; RARA; RARB; LCN1; OBP2A; RBP4; PDK4; RXRA; CYP26A1; CYP26B1; CYP26C1; HPGDS
302962-49-8	ABL1; SRC; EPHA2; LCK; YES1; KIT; PDGFRB; STAT5B; ABL2; FYN; BTK; NR4A3; BCR; CSK; EPHA5; EPHB4; FGR; FRK; HSPA8; LYN; ZAK; MAPK14; PPAT
30299-08-2	PPARA; PPARG; PPARD
303-38-8	dhbE; LCN2
303-45-7	BCL2L1
303-49-1	SLC6A4; HTR2A; HTR2B; HTR2C; SLC6A2; GSTP1
303-53-7	HTR2A; HTR2B; HTR2C; HTR6; SLC6A4; SLC6A2; HTR7; TLR4; AOX1
303-81-1	gyrB; topA
303-98-0	NDUFV3; SDHA
3031-94-5	ATIC
30344-00-4	linB
30392-40-6	ADRB2
304853-42-7	PGR
30516-87-1	pol; TERT
305335-31-3	CPN1; CPN2
3056-17-5	pol
30562-34-6	HSP90AB1; HSP90AA1; HSP90B1
306-40-1	CHRNA10; CHRNA7; CHRM1; CHRM2; CHRM3
306-60-5	ADRA2C; NISCH; CHRNA1; GRIN1; KCNJ1; CACNA1B; ASIC3
309-29-5	KCNK3; KCNK9
3093-35-4	SMO
309913-83-5	MAPK14; TNF; IL1B; MT-CO2
31036-80-3	ADRA2A; ADRA1A; HTR1A; HTR7; HTR2C; HTR1D
3116-76-5	pbpC; pbp1b; pbp2a; pbp3; pbpA; penA
312-48-1	ACHE; BCHE
312-84-5	GLRA1; GRIN1; SERPINB3; shp
31262-37-0	CNR1; CNR2; GPR55; HTR1A; TRPV2; TRPM8; TRPA1
312753-06-3	ADRB2
3131-52-0	LTF
31321-74-1	CXCL10
313348-27-5	ADORA2A
313682-08-5	pol
31430-18-9	HPGDS
31431-39-7	TUBA1A; TUBB4B
315-30-0	XDH
3150-24-1	lacA; lacZ
316-46-1	udp; SOD1
316-81-4	DRD2; DRD1; HTR2A; HTR1A; ADRA1A; ADRA1B
317-66-8	pccB
3171-45-7	cobT
31828-71-4	SCN5A; AHR
31883-05-3	SCN5A
319460-85-0	FLT1; KDR; FLT4
320-67-2	DNMT1
321-64-2	ACHE; BCHE; CES1
3218-02-8	murA; PRSS1
322-35-0	DDC
322-79-2	PTGS1; NFKB1; NOS2; PDE10A
32222-06-3	VDR; HOXA10
3248-05-3	azu
326-91-0	CES1; SDHA
32886-97-8	pbpA
32887-01-7	pbp2a; mrdA; pbp3; pbpA; penA; pbp1b
328947-93-9	AR
32986-56-4	rpsL
32988-50-4	tlyA
330-13-2	ACP1; DUSP23
33005-95-7	PTGS2; PTGS1
33069-62-4	TUBB1; BCL2; MAP4; MAP2; MAPT; NR1I2
330784-47-9	PDE5A
330942-05-7	F10
331-39-5	pyp; hutH; MIF
33125-97-2	GABRA1; ADRA2B; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
3313-26-6	DRD2; DRD1; HTR2A
33159-27-2	NOXO1; ureC
332-80-9	ACTA1
33320-16-0	FCGR1A
33342-05-1	ABCC8; KCNJ8
33369-31-2	PTGDR2
334-48-5	fabB; FURIN; pab; GLTP; lipB; tcp14; PPARG
33419-42-0	TOP2A; TOP2B
334476-46-9	TACR1
33503-72-9	xpt; obg
33515-09-2	GNRHR; GNRHR2
33577-16-1	FKBP1A
33643-46-8	GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B; GRIN2B; EEF2; BDNF; NTRK2
33671-46-4	GABRA1; GABRA2; GABRA3; GABRA5; GABRG1; GABRG2; GABRG3; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRP; GABRR1; GABRR2; GABRR3
338-69-2	nprS; 
3380-30-1	fabI
3380-34-5	fabI; inhA; fabI; fabI; fabI; NR1I2; AR; NR1I3; PPARG; TPO
33817-20-8	pbpA
3385-03-3	NR3C1
339-44-6	KCNJ1; ABCC8
340021-17-2	ADORA1
34031-32-8	PRDX5; IKBKB
34089-81-1	FTL; HBA1; HBB
3416-24-8	TNF; MMP9; NFKB2; IFNG; csn
342-69-8	deoD
3424-98-4	P
34273-04-6	RAB8B
34284-75-8	GAPDH; ATP6V1B2
34368-04-2	ADRB1; ADRB2; ADRA1A; ADRA1B; ADRA1D; ESR1
3439-38-1	tetX
34391-04-3	ADRB2
34420-17-2	CTRB1
34444-01-4	pbpA
34580-13-7	HRH1; PGD
346-18-9	SLC12A3
3469-69-0	cyp121; ADH1C; ADH1B; ADH1A
34787-01-4	mecA
348-54-9	E
348-67-4	METAP2; 
3483-12-3	paiA; acpS; hisD; aroE; LGALS1; CAMK2A; rpmA; ALDH1A1; ohr; pcaB; TRPM7; ugl; moaA; bca; MSRA; torD; AXIN1; PPIB; ams; thyA; TPI1; GSTZ1; HMGCR; prfA
34839-70-8	HRH2
3485-14-1	pbpA; pbpA; pbp3; mecA
34911-55-2	SLC6A3; SLC6A2; CHRNA3; HTR3A
350992-10-8	DRD2; HTR1A
3511-16-8	pbp2a; pbp1b; pbp3; pbpA; penA
35121-78-9	P2RY12; PTGIR; PTGIS
35189-28-7	PGR; AR; ESR1
3544-94-3	draA
355129-15-6	THRA; THRB
356-12-7	NR3C1; SMO
35607-66-0	dacC; dacA; pbpG; dacB; mrcA; mrcB; ftsI; pbp3; pbp1b; pbp2a; pbpA; penA
3562-84-3	CYP2C9; CYP2C19
357-70-0	ACHE; CHRNA1; CHRNB1; CHRND; CHRNG; CHRNE; CHRNA2; CHRNA3; CHRNA4; CHRNA5; CHRNA6; CHRNA7; CHRNA9; CHRNA10; CHRNB2; CHRNB3; CHRNB4; BCHE
357336-20-0	SV2A; SCN1A; SCN10A; SCN11A; SCN2A; SCN3A; SCN4A; SCN5A; SCN7A; SCN8A; SCN9A; SCN1B; SCN2B; SCN3B; SCN4B
357336-74-4	SV2A; CACNA1B; GLRA1; GLRB
3575-80-2	DRD2
3577-01-3	mrcB
357965-98-1	NOS3; NOS1
359-83-1	OPRM1; OPRK1; SIGMAR1
35941-65-2	SLC6A4; HRH1; HTR2A
35959-50-3	thyA
360-70-3	AR
36015-30-2	ACHE
3605-01-4	DRD2; DRD3
3608-58-0	PNP
361-37-5	HTR2B; HTR2C; HTR2A; HTR1A; HTR7; HTR1B; HTR1F; HTR1E
361442-04-8	DPP4
3615-41-6	rhaA
362-05-0	cyaC
362-07-2	HIF1A; COMT; CYP1A1; CYP1B1; CYP19A1
362-29-8	HRH1; HTR2A; HTR2C; DRD2; DRD1; DRD4; ADRA1A; ADRA1B; ADRA1D; CHRM3; CHRM5; CHRM2; CHRM4; CHRM1
363-24-6	PTGER2; PTGER1; PTGER3; PTGER4; PTGDR2
36322-90-4	PTGS2; PTGS1
364-62-5	DRD2; CHRM1; HTR4; HTR3A
364-98-7	KCNJ11; CA1; CA2; ATP1A1; KCNMA1; SLC12A3
365-07-1	tmk; DTYMK; TK; ; dnaQ; rmlA; TYMS; thyA; topA
365-08-2	rmlA; rffH; ; rmlA; TK2; tdk; nrdE; TK1; NRDD; tmk
36505-84-7	HTR1A; DRD2; DRD3; DRD4; ADRA1A; ADRA1B; ADRA1D
366789-02-8	F10
367-93-1	lacZ; lacA; lacI
3672-03-5	folK; folB
36735-22-5	GABRA1; GABRA2; GABRA3; GABRA5; GABRG1; GABRG2; GABRG3; GABRB1; GABRB3; GABRD; GABRE; GABRP; GABRR1; GABRR2; GABRR3; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
36791-04-5	IMPDH1; IMPDH2; L; PB1; NT5C2; ENPP1; 
36889-13-1	NOS3
36894-69-6	ADRB1; ADRB2; ADRA1A; ADRA1B; ADRA1D
37025-55-1	OXTR
37091-66-0	pbpA
37106-97-1	HPN
37115-32-5	GABRA1; GABRA2; GABRA3; GABRA5; GABRG1; GABRG2; GABRG3; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRP; GABRR1; GABRR2; GABRR3
37148-27-9	ADRB2; ADRB1; ADRB3; NGF; TNF
372-75-8	ASS1; DDAH2; ASS; DDAH1; OTC; NOS1; NOS2; NOS3; PADI6; PADI1; PADI3; PADI2; PADI4
373-49-9	cypC; cyp102A1; lpxC
37300-21-3	FGF2; FGF1; FGF4
3737-09-5	SCN5A; CHRM1; CHRM2; CHRM3; KCND2; KCND3; KCNH2; ORM2
37388-49-1	rbsK
374632-71-0	CYP2C18
37517-28-5	rpsL
37517-30-9	ADRB1; ADRB2
3762-25-2	opd; opd
376348-65-1	CCR5
37640-71-4	SCN5A; CALM1
3778-73-2	NR1I2
378-44-9	NR3C1
379270-37-8	pol; rt; 
380917-97-5	GRIA1
3811-56-1	lef
3811-75-4	qacR; qacR
38194-50-2	PTGS2; PTGS1; AKR1B1; MAPK3; PPARD; PTGDR2; AKR1B10
382-67-2	NR3C1
38231-86-6	cgt; ; ; amyE; tvaI
38304-91-5	KCNJ1; PTGS1; REN
38363-40-5	ADRB1; ADRB2; HTR1A; HTR1B
38396-39-3	SCN10A; PTGER1
38398-32-2	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6
38557-85-6	rnaSA
38562-01-5	PTGFR; PTGIR
38677-81-5	ADRB2; ADRB1
387867-13-2	FLT3; PDGFD
38821-53-3	mrcA
38916-34-6	SSTR1; SSTR2; SSTR3; SSTR4; SSTR5
390-28-3	ADRA1A; ADRA1B; ADRA1D
3900-31-0	GABRA1; GABRA2; GABRA3; GABRA5; GABRG1; GABRG2; GABRG3; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRP; GABRR1; GABRR2; GABRR3
391210-10-9	MAP2K1
39133-31-8	OPRM1; CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CACNA1A; KCNMA1; KCNMB1; KCNMB2; KCNMB3; KCNMB4; KCNN4; KCNN1; KCNN2; KCNN3; CACNA1G; CACNA1H; CACNA1I; CHRM1; CHRM2; CHRM3; CHRM4
3930-20-9	KCNH2; ADRB1; ADRB2
3943-74-6	xynY
394730-60-0	NS3/4A
39492-01-8	KLKB1; F2; PLG
39562-70-4	CACNA1C; CACNA2D1; CACNB2; CACNG1; CACNA1D; CACNA1S; CACNA2D2; CACNA1H
396-01-0	SCNN1G; SCNN1A; SCNN1B; SCNN1D
3964-81-6	HRH1
39809-25-1	; TK
39860-99-6	DRD2; DRD1; HTR2A; HTR1A
40034-42-2	gyrB; parC
40054-69-1	GABRA1; GABRA2; GABRA3; GABRG2; PTAFR
4008-48-4	METAP2
40093-99-0	ptd
401900-40-1	AR
402957-28-2	NS3/4A; SLCO1B1; SLCO2B1
40391-99-9	FDPS
404-86-4	TRPV1; PHB2
40431-64-9	SLC6A3; SLC6A2; SLC6A4
404950-80-7	HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9
40580-59-4	SLC6A2
405911-09-3	NR1H2
407-41-0	PRKACA; spoIIAA; pilE1; phoA; SERPINB3; xynY; RHO; TAOK2; KCNC4; REG1A; SMAD2; glsA1; cysG; ptsH; CFTR; PDPK1; PIM1; PRKCQ; PYGL; algC; PYGM
40828-46-4	PTGS1; PTGS2
4093-35-0	DRD2
41078-02-8	PDE4A; PDE4B; ADORA2B; ADORA1; ADORA2A; ADORA3
41294-56-8	VDR; CYP27B1; RXRA
412950-08-4	PLA2G7
41340-25-4	PTGS2; PTGS1; RXRA
41570-61-0	ADRB2
415903-37-6	PTGER4
41598-07-6	AKR1C3; PTGDR2
41708-72-9	SCN5A
417716-92-8	FLT1; KDR; FLT4; FGFR1; FGFR2; FGFR3; FGFR4; PDGFRA; RET; KIT
41859-67-0	PPARA; PPARD; PPARG; NR1I2; RXRA; RXRB; RXRG
420-04-2	CA2; CTSK
42045-86-3	OPRM1; OPRD1; OPRK1
4205-90-7	ADRA2A; ADRA2B; ADRA2C; ADRA1A; ADRA1B; ADRA1D
4206-94-4	estA; BCHE; ACHE
42200-33-9	ADRB1; ADRB2
42214-32-4	DTYMK
4238-71-5	QPCT
42399-41-7	CACNG1; CACNA1C
42408-82-2	OPRK1; OPRD1; OPRM1
4254-14-2	icd; LYZ
4254-15-3	icd; rsbQ
42542-10-9	SLC6A4; SLC18A2; SLC6A3; HTR2A; HTR2B; HTR2C; SLC6A2
426-13-1	NR3C1
427-51-0	AR; KLK3
42794-76-3	ADRA1A; ADRA1B; ADRA1D
4286-55-9	mmoX
4289-98-9	gshA; RNASE1; CLPP; RABGGTA; RABGGTB; pufC; puhA; pufL; pufM; ; ; ; ; SERPINC1; B2M; MT-ND1; HLA-B; narG; narH; narI; S100G; rub; COX4I1; MT-CO1; MT-CO2; MT-CO3; COX5A; COX5B; COX6C; COX7B; COX7C; COX8A; COX6A2; COX6B1; COX7A1; fmt; ; S100B; hld; UBC; atpH; ulaG; spg
4291-63-8	RRM1; RRM2; RRM2B; POLA1; POLE; POLE2; POLE3; POLE4; PNP
42924-53-8	PTGS2; PTGS1
43152-58-5	CYC1; MT-CYB; UQCRC1; UQCRC2; UQCRH; UQCRQ; UQCRFS1; UQCR11; UQCRB; UQCR10
432-60-0	PGR; ESR1
43200-80-2	GABRA1; GABRA2; GABRA3; GABRA5; TSPO
434-07-1	AR; NPPB
4342-03-4	POLA2; PGD
435-97-2	VKORC1
4350-09-8	trpS2
4353-28-0	kynU; murI; ACHE
4360-12-7	SCN5A
4368-28-9	SCN1A; SCN2A; SCN3A; SCN8A
437-38-7	OPRM1; OPRD1; OPRK1; ABCB1
438-60-8	SLC6A2; SLC6A4
439-14-5	GABRA1; GABRA2; GABRA3; GABRA5; GABRB1; GABRB2; GABRB3; GABRG1; GABRG2; GABRG3; GABRD; GABRE; GABRP; GABRR1; GABRR2; GABRR3; GABRQ; TSPO; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
439239-90-4	HTR1F
4394-00-7	PLA2G1B; PTGS2; CLCNKA; PTGS1; PLA2G4A; UGT1A9
440-60-8	ADH1C
4408-78-0	phoA
441798-33-0	EDNRA; EDNRB
442-51-3	MAOA
4428-95-9	UL54; 
443-48-1	rdxA
4432-31-9	ACHE; glmS; DFR1; nirK; HSD11B1; glmU; hcp; lysA; yicI; limA; manA; B4GALT1; ABL; dsbC; gapA; mdlB; nir; hslO; msrC; ; QDPR; ASL; ymdB; ARL3; blaB; ; L3MBTL1; BCHE; rnz; PRDX6; mglB; pep; SFTPA1; ; aroH; cyp158a2; IRGC; CMA1; GSTP1
443913-73-3	VEGFA; EGFR; PTK6; TEK; RET
444731-52-6	FLT1; KDR; FLT4; PDGFRA; PDGFRB; KIT; FGFR3; ITK; FGF1; SH2B3
446-72-0	ESR2; TOP2A; PTK2B; NCOA1; ESR1; NCOA2; ESRRB; ESRRA; NR1I2; AKT1; GPER1; CYP1B1; SHBG
446-86-6	RAC1
447-05-2	pdxJ; ODC1
4499-40-5	PDE3A; PDE4A; ADORA2A; ADORA1; HDAC2
451-13-8	pac
452-35-7	CA1; CA2; CA4; CA7; CA3
452-86-8	cobT; catA
456-59-7	CACNA2D1; CES1
458-24-2	SLC6A4; HTR2B; HTR2C; HTR2A
458-37-7	PPARG; VDR; ABCC5; CBR1; GSTP1
459789-99-2	NR1H4
4602-84-0	MAOB; NR1H4
461432-26-8	SLC5A2
4618-18-2	ebgA
462-20-4	gcvT; GCSH; DLAT; PDK3
462-94-2	ispD
463-40-1	FADS1; FADS2; SLC8A1; TRPV1; ELOVL4; PPARA; NR1H4; PPARD; PPARG; RXRA
463-77-4	penP
463976-07-0	AKR1B1
464-15-3	camC
464-49-3	camC; TRPV1; TRPV3; TRPA1; TRPM8
465-65-6	OPRM1; OPRD1; OPRK1; CREB1; ESR1; TLR4; CES1
4653-11-6	tyrB
466-99-9	OPRM1; OPRD1; OPRK1
467214-20-6	HSP90AA1
467426-54-6	GUCY1A2
468-44-0	AADACL2
46817-91-8	SLC6A2
469-21-6	HRH1; CHRM1; NR1I3
469-62-5	OPRM1; OPRD1; OPRK1; CES1
469-79-4	OPRM1; OPRK1; OPRD1; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B
4697-36-3	dacA; dacB; dacC; mrcA; mrcB; mrdA; ftsI
470-29-1	panC
4707-32-8	RBP3
471-47-6	; ldh; LDHA; LDHB; pflB; 
471-87-4	proX
47141-42-4	ADRB2; ADRB1
473-90-5	ME2
474-25-9	NR1H4; NR1I2; GPBAR1; AKR1C2
474-86-2	HSD17B1; ESR1
475-31-0	FABP6
475479-34-6	PPARA; PPARG; NCOA1
4757-55-5	ACHE
4759-48-2	RARA; RARG
476-66-4	CA1; CA2; CA3; CA4; CA5A; CA5B; CA6; CA7; CA9; CA12; CA14; CSNK2A1; PRKACA; PRKCA; PRKCB; SYK; SQLE
47608-32-2	CHRM1
477-89-4	NQO2
477600-75-2	JAK1; JAK2; JAK3; TYK2
478-43-3	NR1H3; NR1H2; ALOX5
479-18-5	PDE4B; PDE4A; PDE4C; PDE4D; ADORA1; ADORA2A; PDE7A; PDE7B
479-50-5	TOP2A; APEX1; TOP1
479-61-8	blm
480-41-1	ttgR; ESR1; AKR1C1; CYP1B1; KANSL3; SHBG; CYP19A1; ESR2
480449-70-5	F10
481-30-1	AKR1C1; AKR1C2
481-97-0	ESR1; ESR2
482-15-5	HRH1
482-67-7	SULT1E1
4844-10-4	BCHE
485-35-8	CHRNA4; CHRNA7; CHRNA3; CHRNA6; CHRNB2
486-12-4	HRH1
486-16-8	HRH1
486-67-9	ALPL; AQP1; SLC16A1
486460-32-6	DPP4
487-90-1	ALAD
487021-52-3	GSK3B
488-17-5	bphC
488-59-5	; GBA; plcA; CDIPT
4910-46-7	FOLH1
491833-29-5	UGCG
492-27-3	AHR; GPR35
492-61-5	PYGM; xylA; GCK; fhuA; galM; celA1; glk; ; lecB; ; ; xynA; celB; cenC; celS; mglB; GLT6D1; GNPDA1; spoII; NUDT9; SMARCA5; amyA; entB; AMY1A; malP; stxB; NCAN; ; gdhB; ; amy; celB; cslB; aspA; cel5A; LCTL; ams; AMY2A; moxC; ; mglB; eco; mutY; KRTAP5-2; SIGLEC1; nplT; xynA; lamB; ; tvaI; ; ; lamB; MB; LGALS2; PTGS1; HK1; treZ; amyE; ppgmk; cex; budC; cgt; ; celCCG; ; LGALS7; ctxB; KRTAP5-3; dmsA; celC307; AMY2B; engF; tvaII; celD; botB; stx2eB; tetX; xylA; ; amyP; celCCF; gfo; 9; PYGL; SFTPD; IFNB1; malE; fabI; celA
493-52-7	azoR1
49562-28-9	PPARA; MMP25; NR1I2
496-46-8	
496-93-5	OAT
496775-61-2	MPL
4969-02-2	CHRM1; CHRM4; CHRM5; CHRM2; CHRM3
49697-38-3	NR3C1
497-19-8	CA1; CA2; CA4; CA9
497258-67-0	ampC; bla; blaCTX-M-9a
49758-35-2	R
49763-96-4	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; LDHA; LDHB
498-40-8	blaVIM-2; ; CTSL; ; prx; def; GLIPR2; ; def; fabH; PTPN1; ; luxS; 1; CDC25B
4985-46-0	NPY; BPHL
49863-47-0	ODC1
499-67-2	SCN10A
499-83-2	dapB; dapB
50-00-0	
50-02-2	NR3C1; NR0B1; ANXA1; NOS2; NR1I2
50-04-4	NR3C1
50-06-6	GABRA1; CHRNA4; CHRNA7; GRIA2; GRIK2; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B; NR1I2
50-11-3	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; CHRNA4; CHRNA7; GRIA2; GRIK2; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
50-12-4	SCN5A; NR1I2
50-14-6	VDR; CACNG1; CACNG2; CACNG3; CACNG4; CACNG5; CACNG6; CACNG7; CACNG8; CACNA2D1; CACNA2D2; CACNA2D3; CACNA2D4; CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CACNA1B; CACNA1A; CACNA1E; CACNA1G; CACNA1H; CACNA1I
50-18-0	NR1I2
50-21-5	putA; 
50-22-6	NR3C2; HSD11B1; NCOA1
50-23-7	NR3C1; ANXA1
50-24-8	NR3C1
50-27-1	ESR1; ESR2; SHBG
50-28-2	ESR1; ESR2; NR1I2; CHRNA4; GPER1; MT-ATP6; BECN1
50-33-9	PTGS2; PTGIS; PTGS1
50-35-1	CRBN; TNF; NFKB1; FGFR2; PTGS2; ORM1; ORM2
50-36-2	SLC6A3; SLC6A2; SCN1A; SCN10A; SCN11A; SCN2A; SCN3A; SCN4A; SCN5A; SCN7A; SCN8A; SCN9A; SCN1B; SCN2B; SCN3B; SCN4B; SLC6A4; CHRM1; CHRM2; SIGMAR1; CES1
50-37-3	HTR1A; HTR2B; HTR6
50-44-2	HPRT1; PPAT; IMPDH1; IMPDH2
50-47-5	SLC6A2; ADRB2; SLC6A4; HTR2A; ADRB1; SMPD1; HRH1; ADRA1A; ADRA1B; ADRA1D; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; HTR1A; HTR2C; DRD2; ADRA2A; ADRA2B; ADRA2C
50-48-6	SLC6A2; SLC6A4; HTR2A; HTR1A; OPRD1; OPRK1; NTRK1; NTRK2; ADRA1A; ADRA1D; ADRA2A; HRH1; KCNQ2; KCNA1; HRH2; HRH4; SIGMAR1; HTR2C; ADRA1B; HTR7; HTR1D; OPRM1; HTR1B; HTR6; KCNQ3; Htr2c; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; KCNH2; KCNH6; KCNH7
50-49-7	SLC6A2; HTR2A; SLC6A4; HRH1; ADRA1A; ADRA1D; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; KCND2; KCND3; HTR2C; ADRA1B; HTR7; DRD1; DRD5; DRD2; KCNH2; SLC6A3; HTR1A; HTR6; KCNH1; ORM2
50-52-2	DRD2; DRD1; ADRA1A; ADRA1B; HTR2A; KCNH2
50-53-3	DRD2; DRD1; HTR1A; HTR2A; ADRA1A; ADRA1B; HRH1; KCNH2; DRD1; DRD5; DRD3; DRD4; DRD5; HTR2C; HTR2A; HTR2B; HTR2C; ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C; CHRM1; CHRM3; SMPD1; CALM1; ORM1; ORM2; HTR6; HTR7; HRH4
50-55-5	SLC18A2; SLC18A1; BIRC5
50-60-2	ADRA2A; ADRA1A; ADRA1B; ADRA1D
50-70-4	xylA; xylA; xylA; glcB
50-76-0	TOP2A; TOP2B
50-78-2	PTGS1; PTGS2; AKR1C1; PRKAA1; PRKAA2; PRKAB1; PRKAB2; PRKAG1; PRKAG2; PRKAG3; EDNRA; TP53; HSPA5; RPS6KA3; NFKBIA; TNFAIP6; CASP1; CASP3; IKBKB; MAPK1; MAPK15; MAPK3; MAPK4; MAPK6; MAPK7; CCND1; MYC; PCNA
50-81-7	; xylA; PLOD2; PHYH; PLOD3; BBOX1; DBH; PAM; P3H1; P3H2; P3H3; P4HA1; OGFOD1; OGFOD2; ALKBH2; ALKBH3; KDM5D; PLOD1; TMLHE; P4HTM; EGLN1; EGLN2; EGLN3
50-89-5	TK; TK2; rmlA; tsx; tmk; TK; udp
50-91-9	TYMS
500-92-5	DHFR; 
500287-72-9	pol; NR1I2
501-36-0	NQO2; CSNK2A1; PTGS1; PTGS2; ALOX15; ALOX5; AHR; PI4K2B; ITGA5; ITGB3; APP; SNCA; SIRT1; ESR1; MTNR1A; MTNR1B; CLEC14A; NR1I2; NR1I3; SLC2A1; CBR1; PPARA; PPARG; AKT1; KHSRP; YARS
501-52-0	aspC; tyrB; 
501-97-3	tpl; tpl; tyrA
501-98-4	pph; pyp; PTGR1; hutH
5011-34-7	ACAA1
503-01-5	ADRA1A; SLC18A2
503-49-1	HMGCR
503-66-2	bioH
503-74-2	cumD; aspC; pcp
503068-34-6	ADRB2
503612-47-3	F10
50370-12-2	pbp3; pbpA; pbp1b; penA
